name,profession,country,gender,link
Agnès Devictor,academic,Iran,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/840
Helen Dewitt,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/547
Bruno Di Marino,critic,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/750
Andrés Di Tella,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/865
Manthia Diawara,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/371
Mar Diestro-Dópido,critic,UK/Spain,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/366
Ernesto Diezmartínez,critic,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/628
Brian Dillon,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/754
Jan Distelmeyer,academic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/512
Andrea Dittgen,critic,Germany,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/817
Philip Dodd,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/191
Thomas Doherty,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/60
Anton Dolin,critic,Russia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/791
Christine Dollhofer,programmer,Austria,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/718
Jože Dolmark,critic,Slovenia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/455
Andrew Dominik,Director,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/867
Kim Dong Ho,programmer,Korea,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/422
Dennis Doros,distributor,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/665
Atilla Dorsay,critic,Turkey,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/781
Lindiwe Dovey,academic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/393
Charles Drazin,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/730
Andreas Dresen,Director,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/863
Sara Driver,Director,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1161
Stefan Droessler,programmer,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/90
Michael Dudok de Wit,Director,Netherlands/UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1067
Mark Duguid,archivist,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/346
Sam Dunn,distributor,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/125
Jay Duplass,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/986
Sean Durkin,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1164
Amanda Duthie,programmer,Australia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/822
Marco Dutra,Director,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1053
Amit Dutta,Director,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/860
Sergey Dvortsevoy,Director,Kazakhstan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1165
Rachel Dwyer,academic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/180
Geoff Dyer,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/582
Richard Dyer,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/164
Edwin,Director,Indonesia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/936
Roger Ebert,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/142
Nicolás Echevarría,Director,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1091
Gareth Edwards,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/950
Atom Egoyan,Director,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/889
Dimitri Eipides,programmer,Greece,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/658
Bernard Eisenschitz,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/765
Noam M Elcott,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/244
Thomas P Elsaesser,academic,Netherlands,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/58
Amir Emary,critic,Egypt,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/820
Jim Emerson,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/486
Heinz Emigholz,Director,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/968
Pam Engel,distributor,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/231
Amat Escalante,Director,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/859
Gareth Evans,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/591
John Ewing,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/480
Richard Eyre,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1143
Joseph Fahim,critic,Egypt,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/460
Patrick Fahy,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/224
Dan Fainaru,critic,Israel,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/701
Edna Fainaru,critic,Israel,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/646
Asghar Farhadi,Director,Iran,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1204
Gian Luca Farinelli,programmer,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/575
Peter Farrelly,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1120
Andris Feldmanis,critic,Estonia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/805
Paula Félix-Didier,programmer,Argentina,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/214
Leslie Felperin,critic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/397
Pablo Fendrik,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1100
Cristina Fernandes,critic,Portugal,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/706
Abel Ferrara,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/848
Manuel Ferrari,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1049
Ferroni Brigade,critic,Austria/Germany,,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/611
Sophie Fiennes,Director,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1173
Mike Figgis,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1073
David Filipi,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/685
Robert Fischer,critic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/151
Mark Fisher,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/345
Morgan Fisher,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1084
Matthew Flanagan,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/324
John Flaus,critic,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/479
Bence Fliegauf,Director,Hungary,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/899
David Flint,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/684
David Forgacs,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/683
Ambrosio Fornet,critic,Cuba,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/821
Scott Foundas,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/115
Víctor Fowler Calzada,critic,Cuba,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/26
Christopher Fowler,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/716
William Fowler,archivist,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/11
Daniel Frampton,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/697
Ian Francis,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/534
Lizzie Francke,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/388
Christopher Frayling,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/715
Philip French,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/190
Juan Carlos Fresnadillo,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1013
Cyrus Frisch,Director,Netherlands,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/920
Jean-Michel Frodon,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/494
Fu Hongxing,archivist,China,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/595
Chris Fujiwara,programmer,US/Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/722
Graham Fuller,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/564
Andreas Furler,programmer,Switzerland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/815
Filipe Furtado,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/610
Köves Gábor,critic,Hungary,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/414
Petr Gajdosik,critic,Czech Republic,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/194
Tag Gallagher,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/68
Santiago Gallego,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/118
Vigen Galstyan,critic,Australia/Armenia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/25
Steven Galvin,critic,Ireland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/85
Charles Gant,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/729
Fernando Ganzo,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/613
Alon Garbuz,programmer,Israel,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/824
Juan Antonio García Borrero,critic,Cuba,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/454
Félix García de Villegas Rey,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/618
Leonardo García Tsao,critic,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/399
Jean-Pierre Garcia,programmer,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/492
Jorge García,critic,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/469
Roger Garcia,programmer,Hong Kong,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/141
Robert Gardner,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1148
Ruy Gardnier,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/131
Catherine Gautier,programmer,Spain,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/735
Fran Gayo,programmer,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/604
Sonia Genaitay,archivist,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/93
Dan Georgakas,academic,US/Greece,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/700
Bill Georgaris,critic,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/764
John Gianvito,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/999
Luke Gibbons,academic,Ireland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/376
Ben Gibson,other,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/768
Ryan Gilbey,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/130
Jane Giles,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/507
Suzy Gillett,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/73
Zuzana Gindl-Tatarova,critic,Slovakia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1
Pablo Giorgelli,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1101
Amos Gitai,Director,Israel,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/861
June Givanni,programmer,Guyana,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/448
Anne Gjelsvik,academic,Norway,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/797
Michael Glawogger,Director,Austria,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1068
Jonathan Glazer,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1003
Beat Glur,critic,Switzerland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/769
Goran Gocic,critic,Serbia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/566
Srdan Golubovic,Director,Serbia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1174
Miguel Gomes,Director,Portugal,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1070
Ed Gonzalez,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/649
Adoor Gopalakrishnan,Director,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/850
Lalitha Gopalan,academic,India/US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/411
Jan Göransson,other,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/511
Andrei Gorzo,critic,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/813
Bill Gosden,programmer,New Zealand,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/763
Fritz Göttler,critic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/596
Kevin Gough-Yates,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/426
Julian Graffy,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/452
Jamie Graham,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/513
Steve Gravestock,programmer,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/86
Carmen Gray,critic,New Zealand/UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/741
Eugène Green,Director,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/941
Paul Greengrass,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1110
Erica Gregor,programmer,Germany,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/629
Ulrich Gregor,programmer,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/36
Tim Grierson,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/54
Keith Griffiths,other,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/434
Valeska Grisebach,Director,Germany,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1190
David Gritten,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/682
Rajko Grlic,Director,Croatia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1136
Sergio Grmek Germani,archivist,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/109
Thomas Groh,critic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/59
Melissa Gronlund,critic,US/UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/314
Manuel Grosso Galvan,academic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/368
Trevor Groth,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/39
Luca Guadagnino,Director,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1039
Román Gubern,academic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/138
José Luis Guerín,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1005
Haden Guest,archivist,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/552
Tom Gunning,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/45
Evgeny Gusyatinskiy,programmer,Russia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/623
Roman Gutek,programmer,Poland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/137
Patricio Guzmán,Director,Chile,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1106
Báron György,critic,Hungary,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/772
Per Haddal,critic,Norway,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/209
Malte Hagener,academic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/373
Mani Haghighi,Director,Iran,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1045
Andrew Haigh,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/868
Sabine Hake,academic,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/129
Robert Haller,archivist,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/150
Ed Halter,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/648
Marwan Hamed,Director,Egypt,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1059
Peter Hames,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/204
Rahul Hamid,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/178
Wally Hammond,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/17
Howard Hampton,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/539
Piers Handling,programmer,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/183
Mick Hannigan,programmer,Ireland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/292
Mia Hansen-Løve,Director,France,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1064
Briony Hanson,other,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/752
David Hare,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/925
Ruth Harley,other,New Zeland/Australia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/132
Avinoam Harpak,programmer,Israel,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/779
Sue Harris,academic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/78
Sanam Hasan,distributor,Pakistan,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/122
Molly Haskell,critic,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/275
Nick Hasted,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/258
Philippa Hawker,critic,Australia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/185
Michael Hayden,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/308
Michel Hazanavicius,Director,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1205
Sandra Hebron,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/121
Vinzenz Hediger,academic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/24
Liz Helfgott,critic,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/390
Monte Hellman,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1083
Heather Hendershot,academic,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/549
Marek Hendrykowski,academic,Poland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/358
Carlos F. Heredero,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/744
Shai Heredia,programmer,India,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/105
Tim Highsted,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/53
John Hill,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/478
Lola Hinojosa,programmer,Spain,,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/387
Kore-eda Hirokazu,Director,Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1027
Okajima Hisashi,programmer,Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/237
Sam Ho,critic,Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/124
Jim Hoberman,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/485
Christoph Hochhäusler,Director,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/914
Mike Hodges,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1074
PJ Hogan,Director,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1133
Joanna Hogg,Director,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/996
Agnieszka Holland,Director,Poland,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/851
Ken Hollings,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/431
Jan Holmberg,archivist,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/510
Stewart Home,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/82
Li Hongyu,critic,China,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/395
Ben Hopkins,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/896
Duane Hopkins,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/932
Jan-Christopher Horak,archivist,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/508
Philip Horne,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/189
Bill Horrigan,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/762
Alexander Horwath,archivist,Austria,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/831
Peter Howell,critic,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/203
Chinlin Hsieh,programmer,Thailand/France,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/726
Christoph Huber,critic,Austria,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/717
David Hudson,critic,US/Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/681
Ann Hui,Director,China,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/876
Gráinne Humphreys,programmer,Ireland,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/562
Neil Hunter,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1089
Pamela Hutchinson,critic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/229
Youngmee Hwang,critic,Korea,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/5
Adam Hyman,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/845
Mikhail Iampolski,academic,US/Russia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/284
Pasquale Iannone,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/226
Wendy Ide,critic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/16
Eulàlia Iglesias Huix,critic,Spain,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/625
Ik-June Yang,Director,South Korea,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/974
Philip Ilson,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/188
Gary Indiana,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/589
May Adadol Ingawanij,academic,Thailand/UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/318
Nachman Ingber,academic,Israel,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/272
Dina Iordanova,academic,Bulgaria/UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/657
Isamu Hirabayashi,Director,Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/978
