name,profession,country,gender,link
Ahmed Atef,Director,Egypt,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/852
Michael Atkinson,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/313
José Carlos Avellar,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/466
Richard Ayoade,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1142
Senem Aytaç,critic,Turkey,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/110
Peter von Bagh,programmer,Finland/Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/196
Peter Bagrov,academic,Russia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/207
Cameron Bailey,programmer,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/748
Robin Baker,archivist,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/145
Mohammed Bakrim,critic,Tunisia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/278
César Ballester,academic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/732
Nicolas Barbano,critic,Denmark,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/251
Florin Barbu,critic,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/605
Luciano Barisone,critic,Switzerland/Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/382
Clio Barnard,Director,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/915
Joslyn Barnes,other,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/456
Charles Barr,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/731
Gabriele Barrera,critic,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/592
Jiří Barta,Director,Czech Republic,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/993
Ruth Barton,academic,Ireland,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/133
Nico Baumbach,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/253
Michael Baute,critic,US/Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/312
Juan Antonio Bayona,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1011
Henry Bean,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/970
Thomas Beard,programmer,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/62
Pavel Bednarik,programmer,Czech Republic,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/213
Ricardo Bedoya,critic,Peru,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/168
Robert Beeson,distributor,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/153
Lars-Olav Beier,critic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/409
James Bell,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/518
Raymond Bellour,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/174
Hagar Ben-Asher,Director,Israel,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/965
Mustapha Benfodil,critic,Algeria,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/273
Faouzi Bensaïdi,Director,Morocco,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/943
Ronald Bergan,critic,UK/France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/136
Philip Berk,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/193
Horacio Bernades,critic,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/540
Michael Berry,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/311
Paolo Bertolin,programmer,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/228
Kaushik Bhaumik,programmer,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/435
Pamela Biénzobas Saffie,critic,Chile,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/230
Susanne Bier,Director,Denmark,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1177
Anne Billson,critic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/798
Andrew Birkin,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/866
Tibor Bíró,programmer,Hungary,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/57
Lizelle Bisschoff,academic,South Africa / UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/389
Moinak Biswas,academic,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/276
Anton Bitel,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/792
Stig Björkman,critic,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/81
Iulia Blaga,critic,Romania,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/524
Les Blank,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1034
Marten Blomkvist,critic,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/337
Hans-Michael Bock,critic,Germany,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/550
Maja Bogojevic,critic,Montenegro,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/374
Enrique Bolado,programmer,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/633
Carlos Bonfil,critic,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/745
Guido Bonsaver,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/560
