movie,year,director,movie_id
"Truman Show, The",1998,Peter Weir,id_537
Come And See,1985,Elem Klimov,id_538
Koyaanisqatsi,1983,Godfrey Reggio,id_539
Oldboy,2003,Park Chan-wook,id_540
Three Colours: Blue,1993,Krzysztof Kieslowski,id_541
Aparajito,1956,Satyajit Ray,id_542
"strada, La",1954,Federico Fellini,id_543
Throne of Blood,1957,Akira Kurosawa,id_544
Assassination,1964,Shinoda Masahiro,id_545
Eraserhead,1976,David Lynch,id_546
"Falls, The",1980,Peter Greenaway,id_547
Elephant,2003,Gus van Sant,id_548
Mon Oncle,1958,Jacques Tati,id_549
Burden of Dreams,1982,Les Blank,id_550
Miracle in Milan,1951,Vittorio de Sica,id_551
Nanook of the North,1922,Robert J. Flaherty,id_552
Paris At Midnight,1926,E. Mason Hopper,id_553
Casino,1995,Martin Scorsese,id_554
"Crowd, The",1928,King Vidor,id_555
"Searchers, The",1956,John Ford,id_556
"Wages of Fear, The",1953,Henri-Georges Clouzot,id_557
"3 Penny Opera, The",1931,G W Pabst,id_558
"Big Sleep, The",1946,Howard Hawks,id_559
Nashville,1975,Robert Altman,id_560
Arabesque,1929,Germaine Dulac,id_561
"Elephant Man, The",1980,David Lynch,id_562
India Song,1975,Marguerite Duras,id_563
"Affair to Remember, An",1957,Leo McCarey,id_564
Germany Year Zero,1948,Roberto Rossellini,id_565
The Tiger of Eschnapur/The Indian Tomb,1958,Fritz Lang,id_566
Cries and Whispers,1972,Ingmar Bergman,id_567
Singin' in the Rain,1951,Stanley Donen/Gene Kelly,id_568
Trainspotting,1995,Danny Boyle,id_569
Fargo,1995,Joel & Ethan Coen,id_570
Lawrence of Arabia,1962,David Lean,id_571
"Sound of Music, The",1965,Robert Wise,id_572
"Thin Red Line, The",1998,Terrence Malick,id_573
"Artist, The",2011,Michel Hazanavicius,id_574
"Night to Remember, A",1958,Roy Ward Baker,id_575
Passport to Pimlico,1949,Henry Cornelius,id_576
Blonde Venus,1932,Josef von Sternberg,id_577
Partie de campagne,1936,Jean Renoir,id_578
Rio Grande,1950,John Ford,id_579
"Rise to Power of Louis XIV, The",1966,Roberto Rossellini,id_580
"Wind, The",1928,Victor Sjöström,id_581
Hurt Locker,2008,Kathryn Bigelow,id_582
"Big Lebowski, The",1998,Joel & Ethan Coen,id_583
Blight,,John Smith,id_584
Duck Soup,1933,Leo McCarey,id_585
"Tale of Tales, A",1979,Yuri Norstein,id_586
"Addiction, The",1994,Abel Ferrara,id_587
Kind Hearts and Coronets,1949,Robert Hamer,id_588
Chronicle of a Summer,1961,Edgar Morin/Jean Rouch,id_589
Last Words,1968,Werner Herzog,id_590
Portrait of Ga,1952,Margaret Tait,id_591
Shunters,1984,Jürgen Böttcher,id_592
Sicilia!,1998,Jean-Marie Straub/Danièle Huillet,id_593
Son nom de Venise dans Calcutta désert,1976,Marguerite Duras,id_594
"Third Generation, The",1979,Rainer Werner Fassbinder,id_595
Wild Grass,2008,Alain Resnais,id_596
Branded to Kill,1967,Suzuki Seijun,id_597
Hard Boiled,1992,John Woo,id_598
"Magnificent Obsession, A",1954,Douglas Sirk,id_599
"Virgin Spring, The",1960,Ingmar Bergman,id_600
Tootsie,1982,Sydney Pollack,id_601
Amadeus,,Milos Forman,id_602
Mephisto,1981,Istvan Szabo,id_603
"Milky Way, The",1968,Luis Buñuel,id_604
Reconstruction,1968,Lucian Pintilie,id_605
Adebar,1957,Peter Kubelka,id_606
Afrique 50,1950,René Vautier,id_607
Aguaespejo granadino,1955,José Val del Omar,id_608
Balle traversant une bulle de savon,,Lucien Bull,id_609
London 66'-67'- Pink Floyd,1967,Peter Whitehead,id_610
Nothing but the Hours,1926,Alberto Cavalcanti,id_611
Profit & Nothing But! Or Impolite Thoughts on the Class Struggle,,Raoul Peck,id_612
"Timeless, Bottomless, Bad Movie",1998,Jang Sun-Woo,id_613
Demon Lover Diary,1980,Joel DeMott,id_614
"Enfance nue, L'",1969,Maurice Pialat,id_615
F for Fake,1975,Orson Welles,id_616
"Werckmeister Harmonies, The",2000,Béla Tarr,id_617
"Great Dictator, The",1940,Charles Chaplin,id_618
Husbands,1970,John Cassavetes,id_619
King Lear,1987,Jean-Luc Godard,id_620
Written on the Wind,1956,Douglas Sirk,id_621
Anything Can Happen,1995,Marcel Lozinski,id_622
"Roue, La",1920,Abel Gance,id_623
"Breakfast Club, The",1985,John Hughes,id_624
Rope,1948,Alfred Hitchcock,id_625
Tron,1982,Steven Lisberger,id_626
Wise Blood,1979,John Huston,id_627
"Belle Noiseuse, La",1991,Jacques Rivette,id_628
Cul-de-Sac,1966,Roman Polanski,id_629
loge de l'amour/In Praise of Love,2001,Jean-Luc Godard,id_630
Eureka,1974,Nicolas Roeg,id_631
Wavelength,1967,Michael Snow,id_632
Beyond the Forest,1949,King Vidor,id_633
"Dames du Bois de Boulogne, Les",1945,Robert Bresson,id_634
Principio y fin,1993,Arturo Ripstein,id_635
Shadow of A Doubt,1943,Alfred Hitchcock,id_636
Story of a Love Affair,1950,Michelangelo Antonioni,id_637
"Truth About Bebe Donde, The",1952,Henri Decoin,id_638
Another Year,2010,Mike Leigh,id_639
"Wayward Cloud, The",2004,Tsai Ming-Liang,id_640
Decision Before Dawn,1951,Anatole Litvak,id_641
Emitai,1971,Ousmane Sembène,id_642
Shop on the Main Street,1965,Jan Kadar,id_643
"Student of Prague, The",1926,Henrik Galeen,id_644
"Tale of the Wind, A",,Joris Ivens/Marceline Loridan Ivens,id_645
"Tree of Wooden Clogs, The",1978,Ermano Olmi,id_646
Artemis' Knee,2007,Jean-Marie Straub/Danièle Huillet,id_647
Black TV,,Aldo Tambellini,id_648
Dans le noir du temps,2002,Jean-Luc Godard,id_649
Eureka,1983,Ernie Gehr,id_650
Melancolia,2008,Lav Díaz,id_651
Outer Space,2002,Peter Tscherkassky,id_652
Trasferimento di modulazione,,Piero Bargellini,id_653
Traviata '53,1953,Vittorio Cottafavi,id_654
"verifica incerta, La",1967,Alberto Grifi/Gianfranco Baruchello,id_655
"Strike, The",1925,Sergei M Eisenstein,id_656
"commune (Paris, 1871), La",2000,Peter Watkins,id_657
"Band Wagon, The",1953,Vincente Minnelli,id_658
Rome Open City,1945,Roberto Rossellini,id_659
They Live,1988,John Carpenter,id_660
Notorious,1946,Alfred Hitchcock,id_661
Scenes from a Marriage,1995,Ingmar Bergman,id_662
Talk to Her,2002,Pedro Almodóvar,id_663
Bringing Up Baby,1938,Howard Hawks,id_664
"Flowers of St Francis, The",1950,Roberto Rossellini,id_665
"Golden Coach, The",1952,Jean Renoir,id_666
"Man Who Shot Liberty Valance, The",1962,John Ford,id_667
Sawdust and Tinsel,1962,Ingmar Bergman,id_668
"Thing, The",1982,John Carpenter,id_669
Two Lovers,2008,James Gray,id_670
El grito del sur. Casas Viejas,,Basilio Martín Patino,id_671
Here and Elsewhere,1975,Jean-Luc Godard/Jean-Pierre Gorin/Groupe Dziga Vertov7Anne-Marie Miéville,id_672
Kid Auto Races At Venice,1914,Charles Chaplin,id_673
"Man Who Lies, The",1968,Alain Robbe-Grillet,id_674
Memory of the Camps,1945,Alfred Hitchcock,id_675
Moses and Aaron,1974,Jean-Marie Straub/Danièle Huillet,id_676
Numéro zéro,2003,Jean Eustache,id_677
One-Sixth of the World,1926,Dziga Vertov,id_678
All That Jazz,1979,Bob Fosse,id_679
Big Deal on Madonna Street,1958,Mario Monicelli,id_680
In The Name of the Pope King,1977,Luigi Magni,id_681
It's a Wonderful Life,1947,Frank Capra,id_682
Love in the Afternoon,1957,Billy Wilder,id_683
We all Loved Each Other So Much,1974,Ettore Scola,id_684
Egyptian Series,,Stan Brakhage,id_685
El Dorado,1966,Howard Hawks,id_686
Eniaios,,Gregory J. Markopoulos,id_687
India: Matri Bhumi,1959,Roberto Rossellini,id_688
Schwechater,1958,Peter Kubelka,id_689
"Sun Shines Bright, The",1953,John Ford,id_690
What Goes Up?,,Robert Breer,id_691
Yearning,1964,Naruse Mikio,id_692
Kings of the Road,1976,Wim Wenders,id_693
Mother and Son,1997,Aleksandr Sokurov,id_694
"Rose King, The",1986,Werner Schroeter,id_695
Frontier Blues,2010,Babak Jalali,id_696
Heaven's Gate,1980,Michael Cimino,id_697
"humanité, L'",1999,Bruno Dumont,id_698
Antonio das Mortes,1969,Glauber Rocha,id_699
History Lessons,1972,Jean-Marie Straub/Danièle Huillet,id_700
Indian Summer,1972,Valerio Zurlini,id_701
Ride Lonesome,1959,Budd Boetticher,id_702
Aleksandr Nevski,1938,Sergei M Eisenstein,id_703
Gamlet,1964,Grigori Kozintsev,id_704
"Woman of Paris, A",1923,Charles Chaplin,id_705
"drôlesse, La",1979,Jacques Doillon,id_706
Spiritual Voices,1996,Aleksandr Sokurov,id_707
"argent, L'",1928,Marcel L'Herbier,id_708
Human Remains,1998,Jay Rossenblatt,id_709
Local Color,1977,Mark Rappaport,id_710
Mikey and Nicky,1976,Elaine May,id_711
Milestones,1975,Robert Kramer,id_712
Old Joy,2005,Kelly Reichardt,id_713
Safe,1994,Todd Haynes,id_714
Wanda,1970,Barbara Loden,id_715
"Wife, The",1995,Tom Noonan,id_716
Bull Durham,1988,Ron Shelton,id_717
Harold and Maude,1971,Hal Ashby,id_718
Local Hero,1983,Bill Forsyth,id_719
"Piano, The",1992,Jane Campion,id_720
Picnic At Hanging Rock,1975,Peter Weir,id_721
Scarface,1983,Brian De Palma,id_722
This Is Spinal Tap,1983,Rob Reiner,id_723
Tokyo Ga,1985,Wim Wenders,id_724
Serene Velocity,1970,Ernie Gehr,id_725
Bride of Frankenstein,1935,James Whale,id_726
Brokeback Mountain,2005,Ang Lee,id_727
Goodfellas,1990,Martin Scorsese,id_728
Close Encounters of the Third Kind,1977,Steven Spielberg,id_729
Prenom: Carmen,1983,Jean-Luc Godard,id_730
Beep Beep,,Chuck Jones,id_731
Kramer vs. Kramer,1979,Robert Benton,id_732
On The Waterfront,1954,Elia Kazan,id_733
Rosemary's Baby,1968,Roman Polanski,id_734
"Social Network, The",2010,David Fincher,id_735
"Shame, The",1968,Ingmar Bergman,id_736
"Devils, The",1971,Ken Russell,id_737
Irreversible,2002,Gaspar Noé,id_738
Natural Born Killers,1994,Oliver Stone,id_739
Night of the Demon,1957,Jacques Tourneur,id_740
Repulsion,1965,Roman Polanski,id_741
In the Realm of the Senses,1976,Nagisa Oshima,id_742
Yellow Earth,1984,Chen Kaige,id_743
"Horse Thief, The",1986,Tian Zhuangzhuang,id_744
Kagemusha,1980,Akira Kurosawa,id_745
Slow Motion,1979,Jean-Luc Godard,id_746
Landscape in the Mist,1988,Theodoros Angelopoulos,id_747
"Black God, White Devil",1964,Glauber Rocha,id_748
Chimes at Midnight,1966,Orson Welles,id_749
Frida,1984,Paul Leduc,id_750
"Bed you Sleep In, The",1993,Jon Jost,id_751
Dog Star Man,1964,Stan Brakhage,id_752
Ornamental Hairpin,1941,Shimizu Hiroshi,id_753
"Terra Trema, La",1948,Luchino Visconti,id_754
Through the Olive Trees,1994,Abbas Kiarostami,id_755
"Time to Live and a Time To Die, A",1985,Hsiao-hsien Hou,id_756
Birth,2004,Jonathan Glazer,id_757
Cold Water,,Olivier Assayas,id_758
Deliverance,1972,John Boorman,id_759
Enter the Dragon,1973,Robert Clouse,id_760
Minority Report,2002,Steven Spielberg,id_761
"Now, Voyager",1942,Irving Rapper,id_762
"Ten Commandments, The",1923,Cecil B DeMille,id_763
"Texas Chainsaw Massacre, The",1974,Tobe Hooper,id_764
Chungking Express,1994,Wong Kar Wai,id_765
Meet Me In St. Louis,1944,Vincente Minnelli,id_766
All About My Mother,1999,Pedro Almodóvar,id_767
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,id_768
"Housemaid, The",1960,Kim Ki-young,id_769
Million Dollar Baby,2004,Clint Eastwood,id_770
A.I. Artificial Intelligence,2001,Steven Spielberg,id_771
"Crime of Monsieur Lange, The",1935,Jean Renoir,id_772
In the City of Sylvia,2007,José Luis Guerín,id_773
Opera Jawa,2006,Garin Nugroho,id_774
Profound Desires of the Gods,1968,Imamura Shohei,id_775
Amsterdam Global Village,1996,Johan van der Keuken,id_776
Grave of the Fireflies,1988,Isao Takahata,id_777
Some Came Running,1958,Vincente Minnelli,id_778
Dragon Gate Inn,1966,King Hu,id_779
Inception,2010,Christopher Nolan,id_780
Querelle,1982,Rainer Werner Fassbinder,id_781
"Departed, The",2006,Martin Scorsese,id_782
"Purple Rose of Cairo, The",1985,Woody Allen,id_783
Life and Nothing More,1992,Abbas Kiarostami,id_784
Spring in a Small Town,1948,Fei Mu,id_785
Short Cuts,1993,Robert Altman,id_786
"Emperor of the Mughals, The",1960,K. Asif,id_787
Mother India,1957,Mehboob Khan,id_788
Pyaasa,1957,Guru Dutt,id_789
"?' Motorist, The",1906,Robert Paul,id_790
"Diary for Timothy, A",1946,Humphrey Jennings,id_791
Rainbow Dance,1936,Len Lye,id_792
Floating Clouds,1955,Naruse Mikio,id_793
Judex,,Louis Feuillade,id_794
Ministry of Fear,1943,Fritz Lang,id_795
"Patsy, The",1964,Jerry Lewis,id_796
Pulse,2001,Kiyoshi Kurosawa,id_797
"Age of Innocence, The",1993,Martin Scorsese,id_798
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,id_799
Arrebato,1979,Iván Zulueta,id_800
God's Comedy,1995,João César Monteiro,id_801
Gummo,1997,Harmony Korine,id_802
Supervixens,1975,Russ Meyer,id_803
Casanova,1976,Federico Fellini,id_804
Salvatore Giuliano,1962,Francesco Rosi,id_805
"Hole, The",,Tsai Ming Liang,id_806
"Too Early, Too Late",1982,Jean-Marie Straub/Danièle Huillet,id_807
"ville des pirates, La",1984,Raúl Ruiz,id_808
"Way Things Go, The",1987,Peter Fischli/David Weiss,id_809
Alice,1988,Jan Svankmajer,id_810
Arabian Nights,1974,Pier Paolo Pasolini,id_811
Nosferatu,1922,F. W. Murnau,id_812
"Last Movie, The",1971,Dennis Hopper,id_813
Week End,1967,Jean-Luc Godard,id_814
Chushingura,1962,Inagaki Hiroshi ,id_815
Fast Times at Ridgemont High,1982,Amy Heckerling,id_816
Office Space,1999,Mike Judge,id_817
Three Days of the Condor,1975,Sydney Pollack,id_818
Top Hat,1935,Mark Sandrich,id_819
Back to the Future,1985,Robert Zemeckis,id_820
Harakiri,1962,Kobayashi Masaki,id_821
"Vacances de M. Hulot, Les",1953,Jacques Tati,id_822
Stardust Memories,1980,Woody Allen,id_823
"Executioner, The",1963,Luis García Berlanga,id_824
Los Olvidados,1950,Luis Buñuel,id_825
Dream Street,1921,D.W. Griffith,id_826
Gion Festival,1953,Mizoguchi Kenji,id_827
"Is Not a Film, This",,Jafar Panahi/Mojtaba Mirtahmasb,id_828
"Moment of Innocence, A",1995,Mohsen Makhmalbaf,id_829
Muriel,1963,Alain Resnais,id_830
Ten Days' Wonder,1971,Claude Chabrol,id_831
Gimme Shelter,1970,Albert Maysles/David Maysles/Charlotte Zwerin,id_832
Portrait of Jason,1967,Shirley Clarke,id_833
"Thin Blue Line, The",1989,Errol Morris,id_834
Becky Sharp,1935,Rouben Mamoulian,id_835
"Prophet, A",2009,Jacques Audiard,id_836
Rapsodia satanica,,Nino Oxilia,id_837
"Trip to the Moon, A",1902,Georges Méliès,id_838
William Shakespeare's Romeo+Juliet,1996,Baz Luhrmann,id_839
"Battle of Chile: Part 2, The",1976,Patricio Guzmán,id_840
Don't Look Back,1967,D.A. Pennebaker,id_841
Lessons of Darkness,1992,Werner Herzog,id_842
"Sorrow and the Pity, The",1969,Marcel Ophüls,id_843
Titicut Follies,1967,Frederick Wiseman,id_844
I Vitelloni,1953,Federico Fellini,id_845
"King of Comedy, The",1983,Martin Scorsese,id_846
Yojimbo,1961,Akira Kurosawa,id_847
"Amour existe, L'",1960,Maurice Pialat,id_848
Colossal Youth,2006,Pedro Costa,id_849
D'est,1993,Chantal Akerman,id_850
Harvest 3000,1974,Haile Gerima,id_851
Pastoral Hide and Seek,1974,Terayama Shuji,id_852
"pont des arts, Le",2004,Eugène Green,id_853
Separation,1967,Jack Bond,id_854
WALL-E,2008,Andrew Stanton,id_855
Advise and Consent,1962,Otto Preminger,id_856
Isn't Life Wonderful,1924,D.W. Griffith,id_857
"Mortal Storm, The",1940,Frank Borzage,id_858
Tales of the Taira Clan,1955,Mizoguchi Kenji,id_859
"Testament Du Dr. Cordelier, Le",1961,Jean Renoir,id_860
"Wings of Eagles, The",1956,John Ford,id_861
"One, Two, Three",1961,Billy Wilder,id_862
Beau Travail,1998,Claire Denis,id_863
Import/Export,2007,Ulrich Seidl,id_864
Onibaba,1964,Shindo Kaneto ,id_865
"Phantom of Liberty, The",1974,Luis Buñuel,id_866
"Autumn Afternoon, An",1962,Ozu Yasujirô ,id_867
Lousiana Story,1948,Robert J. Flaherty,id_868
Traffic,1971,Jacques Tati,id_869
Young Mr Lincoln,1939,John Ford,id_870
"House is Black, The",1962,Forough Farrokhzad,id_871
"Insect Woman, The",1963,Imamura Shohei,id_872
Kaagaz Ke Phool,1959,Guru Dutt,id_873
Minamata: The Victims and their World,1972,Tsuchimoto Noriaki,id_874
Days of the Eclipse,1988,Aleksandr Sokurov,id_875
Duck Amuck,,Chuck Jones,id_876
Gate of Flesh,1964,Suzuki Seijun,id_877
"Idiots, The",1998,Lars von Trier,id_878
"Palm Beach Story, The",1942,Preston Sturges,id_879
Women of the Night,1948,Mizoguchi Kenji,id_880
Come and Go,2003,João César Monteiro,id_881
"Femmes, Femmes",1974,Paul Vecchiali,id_882
"Great Madcap, The",1949,Luis Buñuel,id_883
Portrait of Madame Yuki,1950,Mizoguchi Kenji,id_884
"Scarecrow, The",1973,Jerry Schatzberg,id_885
Broken Blossoms,1919,D.W. Griffith,id_886
"Naked Kiss, The",1964,Samuel Fuller,id_887
"Plaisir, Le",1951,Max Ophüls,id_888
Scorpio Rising,1964,Kenneth Anger,id_889
Ivan's Childhood,1962,Andrei Tarkovsky,id_890
"Miracle Worker, The",1962,Arthur Penn,id_891
Shoot the Pianist,1960,François Truffaut,id_892
Stolen Children,1992,Gianni Amelio,id_893
Sundays and Cybèle,1962,Serge Bourguignon,id_894
Closely Observed Trains,1966,Jiří Menzel,id_895
Infernal Affairs,2002,Andrew Lau/Alan Mak,id_896
Mothlight,1963,Stan Brakhage,id_897
Princess Mononoke,1997,Miyazaki Hayao,id_898
Uzak/Distant,2003,Nuri Bilge Ceylan,id_899
2 into 1,,Gillian Wearing,id_900
Assumption,1997,Peter Gidal,id_901
Bliss,1967,Gregory J. Markopoulos,id_902
Dimensions of Dialogue,1982,Jan Svankmajer,id_903
Place of Work & Tailpiece,1976,Margaret Tait,id_904
Reel Time,,Annabel Nicolson,id_905
Screen Tests,1965,Andy Warhol,id_906
Short Film Series,,Guy Sherwin,id_907
Trade Tattoo,1937,Len Lye,id_908
Amour,,Michael Haneke,id_909
In The Dark,,Sergei Dvortsevoy,id_910
Poetry,2010,Lee Chang-dong,id_911
Surviving Life (Theory and Practice),2010,Jan Svankmajer,id_912
Whispering Pages,1993,Aleksandr Sokurov,id_913
"Wind Will Carry Us, The",1999,Abbas Kiarostami,id_914
Unforgiven,1992,Clint Eastwood,id_915
Blood Simple,1983,Joel & Ethan Coen,id_916
"Star is Born, A",1954,George Cukor,id_917
Woman of the Dunes,1964,Teshigahara Hiroshi,id_918
"Feu follet, Le",1963,Louis Malle,id_919
My Man Godfrey,1936,Gregory La Cava,id_920
Late Autumn,1960,Ozu Yasujirô ,id_921
Report,1986,Bruce Conner,id_922
Accattone,1961,Pier Paolo Pasolini,id_923
"Big Heat, The",1953,Fritz Lang,id_924
Dodeskaden,1970,Akira Kurosawa,id_925
Loulou,1980,Maurice Pialat,id_926
Street of Shame,1956,Mizoguchi Kenji,id_927
Little Stabs at Happiness,1963,Ken Jacobs,id_928
Day of Wrath,1943,Carl Theodor Dreyer,id_929
Great Expectations,1946,David Lean,id_930
"Happiest Days of Your Life, The",1950,Frank Launder,id_931
Victim,1961,Basil Dearden,id_932
Young at Heart,1955,Gordon Douglas,id_933
"Tree Grows in Brooklyn, A",1945,Elia Kazan,id_934
Chelsea Girls,1966,Andy Warhol/Paul Morrissey,id_935
"Seashell and the Clergyman, The",1928,Germaine Dulac,id_936
Peeping Tom,1960,Michael Powell,id_937
1900,1976,Bernardo Bertolucci,id_938
Fearless,1993,Peter Weir,id_939
Samson and Delilah,1949,Cecil B DeMille,id_940
Slaughterhouse-Five,1972,George Roy Hill,id_941
"Stud Farm, The",1978,András Kovács,id_942
13 Lakes,2005,James Benning,id_943
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,Jonas Mekas,id_944
Hatari!,1961,Howard Hawks,id_945
"Merry Widow, The",1934,Ernst Lubitsch,id_946
Three Godfathers,1948,John Ford,id_947
True Stories,1986,David Byrne,id_948
Indio nacional,2006,Raya Martin,id_949
Institute Benjamenta,1995,Quay Brothers,id_950
Teorema,1968,Pier Paolo Pasolini,id_951
Bitter Victory,1957,Nicholas Ray,id_952
Harvest,1937,Marcel Pagnol,id_953
"Informer, The",1935,John Ford,id_954
Passion,1982,Jean-Luc Godard,id_955
Festen,1998,Thomas Vinterberg,id_956
Jubilee,1977,Derek Jarman,id_957
"Marriage of Maria Braun, The",1979,Rainer Werner Fassbinder,id_958
Borat,2006,Larry Charles,id_959
Three Colours: Red,1994,Krzysztof Kieslowski,id_960
"Belle et la Bete, La",1946,Jean Cocteau,id_961
Frankenstein,1931,James Whale,id_962
Jaws,1975,Steven Spielberg,id_963
"Sacrifice, The",1986,Andrei Tarkovsky,id_964
"Headless Woman, The",2008,Lucrecia Martel,id_965
"Arbor, The",2010,Clio Barnard,id_966
"Ladykillers, The",1955,Alexander Mackendrick,id_967
Near Death,1989,Frederick Wiseman,id_968
Things to Come,1936,William Cameron Menzies,id_969
Tommy,1975,Ken Russell,id_970
"Enfant Secret, L'",1983,Philippe Garrel,id_971
"Saga of Anatahan, The",1953,Josef von Sternberg,id_972
Splendor in the Grass,1961,Elia Kazan,id_973
"Woman Who Dared, The",1943,Jean Grémillon,id_974
Cézanne,1989,Jean-Marie Straub/Danièle Huillet,id_975
Ne change rien,,Pedro Costa,id_976
"Pale Rider, The",1985,Clint Eastwood,id_977
"statues meurent aussi…, Les",1953,Chris Marker/Alain Resnais,id_978
Yesterday Girl,1966,Alexander Kluge,id_979
Still Life,2006,Jia Zhang Ke ,id_980
"3 Rooms of Melancholia, The",2004,Pirjo Honkasalo,id_981
"Amor Natural, O",1996,Heddy Honigmann,id_982
Belovy,,Victor Kossakovsky,id_983
"Emperor's Naked Army Marches On, The",1987,Kazuo Hara,id_984
Episode 3 – ‘Enjoy Poverty’,2009,Renzo Martens,id_985
"Five Obstructions, The",2003,Jørgen Leth/Lars von Trier,id_986
Grizzly Man,2005,Werner Herzog,id_987
Hoop Dreams,1994,Steve James,id_988
"Loss Is To Be Expected, A",1992,Ulrich Seidl,id_989
Our Daily Bread,2005,Nikolaus Geyrhalter,id_990
"Party, The",1968,Blake Edwards,id_991
"Banishment, The",2007,Andrei Zvyagintsev,id_992
Cousin,1998,Adam Elliot,id_993
Paradise Now,2005,Hany Abu-Assad,id_994
Point Break,1991,Kathryn Bigelow,id_995
Amores Perros,2000,Alejandro González Iñárritu,id_996
"Kid, The",1921,Charles Chaplin,id_997
"Servant, The",1963,Joseph Losey,id_998
Yaaba,1989,Idrissa Ouedraogo,id_999
Divine Intervention,2002,Elia Suleiman,id_1000
"Faster, Pussycat! Kill! Kill!",1966,Russ Meyer,id_1001
"Kingdom, The",1997,Lars von Trier,id_1002
"Question of Silence, A",1982,Marleen Gorris,id_1003
"Topo, El",1970,Alejandro Jodorowsky,id_1004
Toy Story 2,1999,John Lasseter/Ash Brannon/Lee Unkrich,id_1005
Alice in the Cities,1974,Wim Wenders,id_1006
Invasión,1969,Hugo Santiago,id_1007
Diary,,David Perlov,id_1008
"I, a Negro",1959,Jean Rouch,id_1009
"Maltese Falcon, The",1941,John Huston,id_1010
Mandabi,1968,Ousmane Sembene,id_1011
Superfly,1972,Gordon Parks Jr,id_1012
Xala,1974,Ousmane Sembene,id_1013
"Amanece, que no es poco",1989,José Luis Cuerda,id_1014
"Je t'aime, je t'aime",1968,Alain Resnais,id_1015
Empire,1964,Andy Warhol,id_1016
London,1994,Patrick Keiller,id_1017
Rosetta,1999,Jean-Pierre Dardenne/Luc Dardenne,id_1018
"Royal Tenenbaums, The",2001,Wes Anderson,id_1019
"Vie de Jesus, La",1996,Bruno Dumont,id_1020
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,id_1021
My Friend Ivan Lapshin,1986,Aleksey German,id_1022
Siegfried,1924,Fritz Lang,id_1023
Dogtooth,2009,Yorgos Lanthimos,id_1024
Innocence,2004,Lucile Hadzihalilovic,id_1025
Near Dark,1987,Kathryn Bigelow,id_1026
Of Freaks and Men,1998,Alexey Balabanov,id_1027
Rebels of the Neon God,1992,Tsai Ming Liang,id_1028
Wuthering Heights,2011,Andrea Arnold,id_1029
Dekalog,,Krzysztof Kieslowski,id_1030
Mandala,1981,Im Kwon-taek ,id_1031
"""I Know Where I'm Going!""",1945,Michael Powell/Emeric Pressburger,id_1032
Begone Dull Care,1949,Evelyn Lambart/Norman McLaren,id_1033
Grass,1925,Merian C. Cooper/Ernest B. Schoedsack,id_1034
Pass The Gravy,1928,Fred Guiol,id_1035
Ceddo,1976,Ousmane Sembene,id_1036
"Come Back, Africa",1959,Lionel Rogosin,id_1037
Red Desert,1964,Michelangelo Antonioni,id_1038
Sea Point Days,2009,François Verster,id_1039
Waiting for Happiness,2002,Abderrahmane Sissako,id_1040
"Fallen Idol, The",1948,Carol Reed,id_1041
Listen to Britain,1942,Humphrey Jennings/Stewart McAllister,id_1042
"Gori, gori, moya zvezda",1970,Aleksandr Mitta,id_1043
Riff Raff,1991,Ken Loach,id_1044
Solo Sunny,1979,Konrad Wolf,id_1045
Cat People,1943,Jacques Tourneur,id_1046
Idiocrazy,2006,Mike Judge,id_1047
Persepolis,2007,Vincent Paronnaud/Marjane Satrapi,id_1048
"Scarlet Empress, The",1934,Josef von Sternberg,id_1049
Bed and Sofa,1927,Abram Room,id_1050
Hero,2002,Zhang Yimou,id_1051
"South, The",1988,Fernando Solanas,id_1052
Bambi,1942,David Hand,id_1053
Blood Wedding,1981,Carlos Saura,id_1054
Witness,1985,Peter Weir,id_1055
Bring Me the Head of Alfredo Garcia,1974,Sam Peckinpah,id_1056
Sullivan's Travels,1941,Preston Sturges,id_1057
Bad Timing,1980,Nicolas Roeg,id_1058
"Game, The",1997,David Fincher,id_1059
Living on the Edge,,Mike Grigsby,id_1060
"Time to Love and a Time to Die, A",1958,Douglas Sirk,id_1061
American Movie,1999,Chris Smith,id_1062
"Horse Boy, The",,Michel Orion Scott,id_1063
Raising Arizona,1987,Joel & Ethan Coen,id_1064
Rocky,1976,John G Avildsen,id_1065
Who's Afraid of Virginia Wolf?,1966,Mike Nichols,id_1066
Three Women,1977,Robert Altman,id_1067
"Goonies, The",1985,Richard Donner,id_1068
"Panic in Needle Park, The",1971,Jerry Schatzberg,id_1069
"Piano Teacher, The",2001,Michael Haneke,id_1070
Groundhog Day,1993,Harold Ramis,id_1071
Patrick,1978,Richard Franklin,id_1072
"Fog, The",1979,John Carpenter,id_1073
Ganga Bruta,1933,Humberto Mauro,id_1074
How Green Was My Valley,1941,John Ford,id_1075
Os Canibais,1988,Manoel de Oliveira,id_1076
Raising Cain,1992,Brian De Palma,id_1077
"Village, The",2004,M Sight Shyamalan,id_1078
Distant Thunder,1973,Satyajit Ray,id_1079
Lancelot Du Lac,1974,Robert Bresson,id_1080
My Ain Folk,1973,Bill Douglas,id_1081
Rikyu,1989,Teshigahara Hiroshi,id_1082
