movie,year,director,movie_link,total_score,critic_score,director_score,french_voters_score
Three Colours: Blue,1993.0,Krzysztof Kieslowski,https://www.bfi.org.uk/films-tv-people/4ce2b7c1b61df,16,13.0,3.0,
Aparajito,1956.0,Satyajit Ray,https://www.bfi.org.uk/films-tv-people/4ce2b6c0108d6,2,1.0,1.0,
"strada, La",1954.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b6b6b7aca,23,8.0,15.0,
Throne of Blood,1957.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6ae52fa0,8,7.0,1.0,
Assassination,1964.0,Shinoda Masahiro,https://www.bfi.org.uk/films-tv-people/4ce2b6c002eb7,1,1.0,,
Eraserhead,1976.0,David Lynch,https://www.bfi.org.uk/films-tv-people/4ce2b6bd29db3,12,9.0,3.0,1.0
"Falls, The",1980.0,Peter Greenaway,https://www.bfi.org.uk/films-tv-people/4ce2b6bd4355f,1,1.0,,
Elephant,2003.0,Gus van Sant,https://www.bfi.org.uk/films-tv-people/4ce2b895480e3,6,2.0,4.0,
Mon Oncle,1958.0,Jacques Tati,https://www.bfi.org.uk/films-tv-people/4ce2b6b0b69c4,3,1.0,2.0,
Burden of Dreams,1982.0,Les Blank,https://www.bfi.org.uk/films-tv-people/4ce2b69612f7d,1,,1.0,
Miracle in Milan,1951.0,Vittorio de Sica,https://www.bfi.org.uk/films-tv-people/4ce2b6b082150,3,2.0,1.0,
Nanook of the North,1922.0,Robert J. Flaherty,https://www.bfi.org.uk/films-tv-people/4ce2b7491753f,9,4.0,5.0,1.0
Paris At Midnight,1926.0,E. Mason Hopper,https://www.bfi.org.uk/films-tv-people/4ce2b6b29b568,1,,1.0,
Casino,1995.0,Martin Scorsese,https://www.bfi.org.uk/films-tv-people/4ce2b7d2478c1,5,5.0,,
"Crowd, The",1928.0,King Vidor,https://www.bfi.org.uk/films-tv-people/4ce2b70696ace,8,6.0,2.0,
"Searchers, The",1956.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6b54abdf,89,78.0,11.0,4.0
"Wages of Fear, The",1953.0,Henri-Georges Clouzot,https://www.bfi.org.uk/films-tv-people/4ce2b6b4e4421,6,3.0,3.0,
"3 Penny Opera, The",1931.0,G W Pabst,https://www.bfi.org.uk/films-tv-people/4ce2b70eb3214,1,1.0,,
"Big Sleep, The",1946.0,Howard Hawks,https://www.bfi.org.uk/films-tv-people/4ce2b6a52249e,10,8.0,2.0,
Nashville,1975.0,Robert Altman,https://www.bfi.org.uk/films-tv-people/4ce2b6b143f57,27,22.0,5.0,
Arabesque,1929.0,Germaine Dulac,https://www.bfi.org.uk/films-tv-people/4ce2b6bc0b5d2,1,1.0,,
"Elephant Man, The",1980.0,David Lynch,https://www.bfi.org.uk/films-tv-people/4ce2b6bd1e475,5,3.0,2.0,
India Song,1975.0,Marguerite Duras,https://www.bfi.org.uk/films-tv-people/4ce2b6ad1273e,6,6.0,,
"Affair to Remember, An",1957.0,Leo McCarey,https://www.bfi.org.uk/films-tv-people/4ce2b6a477be9,6,5.0,1.0,1.0
Germany Year Zero,1948.0,Roberto Rossellini,https://www.bfi.org.uk/films-tv-people/4ce2b6ab01897,13,8.0,5.0,1.0
The Tiger of Eschnapur/The Indian Tomb,1958.0,Fritz Lang,https://www.bfi.org.uk/films-tv-people/4ce2b6b86f032,5,5.0,,2.0
Cries and Whispers,1972.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b9f3ba7,14,11.0,3.0,2.0
Singin' in the Rain,1951.0,Stanley Donen/Gene Kelly,https://www.bfi.org.uk/films-tv-people/4ce2b6b6036b6,55,46.0,9.0,1.0
Trainspotting,1995.0,Danny Boyle,https://www.bfi.org.uk/films-tv-people/4ce2b7e61eb15,3,2.0,1.0,
Fargo,1995.0,Joel & Ethan Coen,https://www.bfi.org.uk/films-tv-people/4ce2b7deca58c,8,3.0,5.0,
Lawrence of Arabia,1962.0,David Lean,https://www.bfi.org.uk/films-tv-people/4ce2b6aea50ea,31,20.0,11.0,
"Sound of Music, The",1965.0,Robert Wise,https://www.bfi.org.uk/films-tv-people/4ce2b6b68d44c,4,2.0,2.0,
"Thin Red Line, The",1998.0,Terrence Malick,https://www.bfi.org.uk/films-tv-people/4ce2b8021b76d,14,9.0,5.0,
"Artist, The",2011.0,Michel Hazanavicius,https://www.bfi.org.uk/films-tv-people/4f4b8d15e3b14,1,1.0,,
"Night to Remember, A",1958.0,Roy Ward Baker,https://www.bfi.org.uk/films-tv-people/4ce2b6b18a694,1,1.0,,
Passport to Pimlico,1949.0,Henry Cornelius,https://www.bfi.org.uk/films-tv-people/4ce2b6b2b2db6,1,1.0,,
Blonde Venus,1932.0,Josef von Sternberg,https://www.bfi.org.uk/films-tv-people/4ce2b6a57d76e,1,1.0,,
Partie de campagne,1936.0,Jean Renoir,https://www.bfi.org.uk/films-tv-people/4ce2b6b2a3772,20,18.0,2.0,2.0
Rio Grande,1950.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6b4624f5,2,2.0,,
"Rise to Power of Louis XIV, The",1966.0,Roberto Rossellini,https://www.bfi.org.uk/films-tv-people/4ce2b75c2a5c0,8,6.0,2.0,
"Wind, The",1928.0,Victor Sjöström,https://www.bfi.org.uk/films-tv-people/4ce2b6bae34c0,4,4.0,,
Hurt Locker,2008.0,Kathryn Bigelow,https://www.bfi.org.uk/films-tv-people/4ce2b8bf3c780,3,2.0,1.0,
"Big Lebowski, The",1998.0,Joel & Ethan Coen,https://www.bfi.org.uk/films-tv-people/4ce2b8000dbbb,12,7.0,5.0,
Duck Soup,1933.0,Leo McCarey,https://www.bfi.org.uk/films-tv-people/4ce2b6a943938,9,8.0,1.0,
"Tale of Tales, A",1979.0,Yuri Norstein,https://www.bfi.org.uk/films-tv-people/4ce2b76ccb454,10,8.0,2.0,
"Addiction, The",1994.0,Abel Ferrara,https://www.bfi.org.uk/films-tv-people/4ce2b7dba0dfe,1,1.0,,
Kind Hearts and Coronets,1949.0,Robert Hamer,https://www.bfi.org.uk/films-tv-people/4ce2b73453fda,13,10.0,3.0,
Chronicle of a Summer,1961.0,Edgar Morin/Jean Rouch,https://www.bfi.org.uk/films-tv-people/4ce2b6a79642e,4,3.0,1.0,
Last Words,1968.0,Werner Herzog,https://www.bfi.org.uk/films-tv-people/4ce2b79171377,1,1.0,,
Portrait of Ga,1952.0,Margaret Tait,https://www.bfi.org.uk/films-tv-people/4ce2b75a75449,5,3.0,2.0,
Shunters,1984.0,Jürgen Böttcher,https://www.bfi.org.uk/films-tv-people/4ce2b75f58738,1,1.0,,
Sicilia!,1998.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b8153ced0,8,7.0,1.0,
Son nom de Venise dans Calcutta désert,1976.0,Marguerite Duras,https://www.bfi.org.uk/films-tv-people/4ce2b6b675dd4,2,2.0,,
"Third Generation, The",1979.0,Rainer Werner Fassbinder,https://www.bfi.org.uk/films-tv-people/4ce2b70ecb5c7,1,1.0,,
Wild Grass,2008.0,Alain Resnais,https://www.bfi.org.uk/films-tv-people/4ce2b8d4c5be5,1,1.0,,
Branded to Kill,1967.0,Suzuki Seijun,https://www.bfi.org.uk/films-tv-people/4ce2b7359f202,3,2.0,1.0,
Hard Boiled,1992.0,John Woo,https://www.bfi.org.uk/films-tv-people/4ce2b7bfc9d9a,1,1.0,,
"Magnificent Obsession, A",1954.0,Douglas Sirk,https://www.bfi.org.uk/films-tv-people/4ce2b6af91638,2,2.0,,
"Virgin Spring, The",1960.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6adbf5f5,4,3.0,1.0,
Tootsie,1982.0,Sydney Pollack,https://www.bfi.org.uk/films-tv-people/4ce2b6e32344c,3,,3.0,
Mephisto,1981.0,Istvan Szabo,https://www.bfi.org.uk/films-tv-people/4ce2b6c32209a,2,2.0,,
"Milky Way, The",1968.0,Luis Buñuel,https://www.bfi.org.uk/films-tv-people/4ce2b6ba0b5ce,3,1.0,2.0,
Reconstruction,1968.0,Lucian Pintilie,https://www.bfi.org.uk/films-tv-people/4ce2b75fe2a9d,2,2.0,,
Adebar,1957.0,Peter Kubelka,https://www.bfi.org.uk/films-tv-people/4ce2b6abb251e,2,1.0,1.0,1.0
Afrique 50,1950.0,René Vautier,https://www.bfi.org.uk/films-tv-people/4ce2b6e8ec664,2,2.0,,1.0
Aguaespejo granadino,1955.0,José Val del Omar,https://www.bfi.org.uk/films-tv-people/4ce2b7dd57dd9,5,5.0,,1.0
London 66'-67'- Pink Floyd,1967.0,Peter Whitehead,https://www.bfi.org.uk/films-tv-people/4ce2b8c0866ac,1,1.0,,1.0
Nothing but the Hours,1926.0,Alberto Cavalcanti,https://www.bfi.org.uk/films-tv-people/4ce2b6a3274db,1,1.0,,1.0
"Timeless, Bottomless, Bad Movie",1998.0,Jang Sun-Woo,https://www.bfi.org.uk/films-tv-people/4ce2b813df499,2,2.0,,1.0
Demon Lover Diary,1980.0,Joel DeMott,https://www.bfi.org.uk/films-tv-people/4ce2b6bcdd06c,1,1.0,,
"Enfance nue, L'",1969.0,Maurice Pialat,https://www.bfi.org.uk/films-tv-people/4ce2b71202028,3,2.0,1.0,
F for Fake,1975.0,Orson Welles,https://www.bfi.org.uk/films-tv-people/4ce2b714e9247,9,7.0,2.0,1.0
"Werckmeister Harmonies, The",2000.0,Béla Tarr,https://www.bfi.org.uk/films-tv-people/4ce2b848e226c,15,10.0,5.0,
"Great Dictator, The",1940.0,Charles Chaplin,https://www.bfi.org.uk/films-tv-people/4ce2b6bbbae8c,16,12.0,4.0,1.0
Husbands,1970.0,John Cassavetes,https://www.bfi.org.uk/films-tv-people/4ce2b6accac8a,15,7.0,8.0,
King Lear,1987.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b797112e2,1,1.0,,
Written on the Wind,1956.0,Douglas Sirk,https://www.bfi.org.uk/films-tv-people/4ce2b6bb3c86d,4,3.0,1.0,
Anything Can Happen,1995.0,Marcel Lozinski,https://www.bfi.org.uk/films-tv-people/4ce2b7e4bb5ac,1,1.0,,
"Roue, La",1920.0,Abel Gance,https://www.bfi.org.uk/films-tv-people/4ce2b76406bf3,3,3.0,,
"Breakfast Club, The",1985.0,John Hughes,https://www.bfi.org.uk/films-tv-people/4ce2b69aedb78,2,2.0,,
Rope,1948.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b6b4a10e2,1,1.0,,
Tron,1982.0,Steven Lisberger,https://www.bfi.org.uk/films-tv-people/4ce2b77d388c0,1,1.0,,
Wise Blood,1979.0,John Huston,https://www.bfi.org.uk/films-tv-people/4ce2b6baf131e,2,2.0,,
"Belle Noiseuse, La",1991.0,Jacques Rivette,https://www.bfi.org.uk/films-tv-people/4ce2b7a849007,3,3.0,,
Cul-de-Sac,1966.0,Roman Polanski,https://www.bfi.org.uk/films-tv-people/4ce2b6a83e56d,4,2.0,2.0,
loge de l'amour/In Praise of Love,2001.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b83c369b2,1,1.0,,
Eureka,1974.0,Nicolas Roeg,https://www.bfi.org.uk/films-tv-people/4ce2b7134b926,2,2.0,,
Wavelength,1967.0,Michael Snow,https://www.bfi.org.uk/films-tv-people/4ce2b6ba49e47,19,16.0,3.0,1.0
Beyond the Forest,1949.0,King Vidor,https://www.bfi.org.uk/films-tv-people/4ce2b6a5d17e3,1,1.0,,
"Dames du Bois de Boulogne, Les",1945.0,Robert Bresson,https://www.bfi.org.uk/films-tv-people/4ce2b6a84f93b,2,2.0,,
Principio y fin,1993.0,Arturo Ripstein,https://www.bfi.org.uk/films-tv-people/4ce2b7d12039f,1,1.0,,
Shadow of A Doubt,1943.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b6b594796,3,2.0,1.0,
Story of a Love Affair,1950.0,Michelangelo Antonioni,https://www.bfi.org.uk/films-tv-people/4ce2b6a82d284,1,1.0,,
"Truth About Bebe Donde, The",1952.0,Henri Decoin,https://www.bfi.org.uk/films-tv-people/4ce2b78333cc7,2,2.0,,1.0
Another Year,2010.0,Mike Leigh,https://www.bfi.org.uk/films-tv-people/4ce2b8de11268,1,,1.0,
"Wayward Cloud, The",2004.0,Tsai Ming-Liang,https://www.bfi.org.uk/films-tv-people/4ce2b8af32f27,1,,1.0,
Decision Before Dawn,1951.0,Anatole Litvak,https://www.bfi.org.uk/films-tv-people/4ce2b6a89abef,1,,1.0,
Emitai,1971.0,Ousmane Sembène,https://www.bfi.org.uk/films-tv-people/4ce2b6a9781a2,1,,1.0,
Shop on the Main Street,1965.0,Jan Kadar,https://www.bfi.org.uk/films-tv-people/4ce2b6b1d2959,1,,1.0,
"Student of Prague, The",1926.0,Henrik Galeen,https://www.bfi.org.uk/films-tv-people/4ce2b6b6dd308,1,,1.0,
"Tree of Wooden Clogs, The",1978.0,Ermano Olmi,https://www.bfi.org.uk/films-tv-people/4ce2b6e9c78a5,3,1.0,2.0,
Artemis' Knee,2007.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b8d7131b1,1,1.0,,
Dans le noir du temps,2002.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b89ddda0b,1,1.0,,
Eureka,1983.0,Ernie Gehr,https://www.bfi.org.uk/films-tv-people/4ce2b71349eb0,1,1.0,,
Melancolia,2008.0,Lav Díaz,https://www.bfi.org.uk/films-tv-people/4ce2b8ced1763,3,2.0,1.0,
Outer Space,2002.0,Peter Tscherkassky,https://www.bfi.org.uk/films-tv-people/4ce2b8818b260,6,4.0,2.0,
Traviata '53,1953.0,Vittorio Cottafavi,https://www.bfi.org.uk/films-tv-people/4ce2b77cb3338,1,1.0,,
"verifica incerta, La",1967.0,Alberto Grifi/Gianfranco Baruchello,https://www.bfi.org.uk/films-tv-people/4ce2b7833253f,2,1.0,1.0,
"Strike, The",1925.0,Sergei M Eisenstein,https://www.bfi.org.uk/films-tv-people/4ce2b6b7271d6,2,1.0,1.0,
"commune (Paris, 1871), La",2000.0,Peter Watkins,https://www.bfi.org.uk/films-tv-people/4ce2b8326d012,2,1.0,1.0,
"Band Wagon, The",1953.0,Vincente Minnelli,https://www.bfi.org.uk/films-tv-people/4ce2b6f19c7e7,8,7.0,1.0,
Rome Open City,1945.0,Roberto Rossellini,https://www.bfi.org.uk/films-tv-people/4ce2b6b48f642,14,9.0,5.0,
They Live,1988.0,John Carpenter,https://www.bfi.org.uk/films-tv-people/4ce2b799d216e,1,1.0,,
Notorious,1946.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b6b1bc4ee,12,10.0,2.0,1.0
Scenes from a Marriage,1995.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b52ac87,6,5.0,1.0,
Talk to Her,2002.0,Pedro Almodóvar,https://www.bfi.org.uk/films-tv-people/4ce2b8678c28a,4,4.0,,
Bringing Up Baby,1938.0,Howard Hawks,https://www.bfi.org.uk/films-tv-people/4ce2b6a673516,16,15.0,1.0,
"Flowers of St Francis, The",1950.0,Roberto Rossellini,https://www.bfi.org.uk/films-tv-people/4ce2b6aa93659,6,3.0,3.0,
"Golden Coach, The",1952.0,Jean Renoir,https://www.bfi.org.uk/films-tv-people/4ce2b6a732488,2,1.0,1.0,
"Man Who Shot Liberty Valance, The",1962.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6afe44fd,19,14.0,5.0,
Sawdust and Tinsel,1962.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b1495b2,1,1.0,,
"Thing, The",1982.0,John Carpenter,https://www.bfi.org.uk/films-tv-people/4ce2b78012316,5,4.0,1.0,
Two Lovers,2008.0,James Gray,https://www.bfi.org.uk/films-tv-people/4ce2b8c6b7298,2,1.0,1.0,
Here and Elsewhere,1975.0,Jean-Luc Godard/Jean-Pierre Gorin/Groupe Dziga Vertov7Anne-Marie Miéville,https://www.bfi.org.uk/films-tv-people/4ce2b72b443d9,2,2.0,,
Kid Auto Races At Venice,1914.0,Charles Chaplin,https://www.bfi.org.uk/films-tv-people/4ce2b6bbbcb9e,1,1.0,,
"Man Who Lies, The",1968.0,Alain Robbe-Grillet,https://www.bfi.org.uk/films-tv-people/4ce2b72865ab6,1,1.0,,
Memory of the Camps,1945.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b7430f407,1,1.0,,
Moses and Aaron,1974.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b6c38c8ea,1,1.0,,
Numéro zéro,2003.0,Jean Eustache,https://www.bfi.org.uk/films-tv-people/4ce2b88f6380b,1,1.0,,
One-Sixth of the World,1926.0,Dziga Vertov,https://www.bfi.org.uk/films-tv-people/4ce2b6b5b375e,1,1.0,,
All That Jazz,1979.0,Bob Fosse,https://www.bfi.org.uk/films-tv-people/4ce2b6bbe7343,3,,3.0,
Big Deal on Madonna Street,1958.0,Mario Monicelli,https://www.bfi.org.uk/films-tv-people/4ce2b6b65c69a,2,,2.0,
In The Name of the Pope King,1977.0,Luigi Magni,https://www.bfi.org.uk/films-tv-people/4ce2b6be0bb34,1,,1.0,
It's a Wonderful Life,1947.0,Frank Capra,https://www.bfi.org.uk/films-tv-people/4ce2b72fd693f,12,6.0,6.0,
Love in the Afternoon,1957.0,Billy Wilder,https://www.bfi.org.uk/films-tv-people/4ce2b6af40043,1,,1.0,
We all Loved Each Other So Much,1974.0,Ettore Scola,https://www.bfi.org.uk/films-tv-people/4ce2b6fe2a06a,1,,1.0,
El Dorado,1966.0,Howard Hawks,https://www.bfi.org.uk/films-tv-people/4ce2b6a96dc31,2,2.0,,
India: Matri Bhumi,1959.0,Roberto Rossellini,https://www.bfi.org.uk/films-tv-people/4ce2b72c83cb9,4,4.0,,1.0
Schwechater,1958.0,Peter Kubelka,https://www.bfi.org.uk/films-tv-people/4ce2b6b53b38b,3,3.0,,
"Sun Shines Bright, The",1953.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6b75aa51,3,2.0,1.0,
Yearning,1964.0,Naruse Mikio,https://www.bfi.org.uk/films-tv-people/4ce2b6b05edb4,2,2.0,,
Kings of the Road,1976.0,Wim Wenders,https://www.bfi.org.uk/films-tv-people/4ce2b6ad02e91,9,8.0,1.0,
Mother and Son,1997.0,Aleksandr Sokurov,https://www.bfi.org.uk/films-tv-people/4ce2b7fdef9f7,6,5.0,1.0,
"Rose King, The",1986.0,Werner Schroeter,https://www.bfi.org.uk/films-tv-people/4ce2b763da3c5,1,1.0,,
Frontier Blues,2010.0,Babak Jalali,https://www.bfi.org.uk/films-tv-people/4ce2b8d805c90,1,,1.0,
Heaven's Gate,1980.0,Michael Cimino,https://www.bfi.org.uk/films-tv-people/4ce2b724b7e05,5,3.0,2.0,
"humanité, L'",1999.0,Bruno Dumont,https://www.bfi.org.uk/films-tv-people/4ce2b819b3a94,3,,3.0,
Antonio das Mortes,1969.0,Glauber Rocha,https://www.bfi.org.uk/films-tv-people/4ce2b6a931741,3,3.0,,
History Lessons,1972.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b71e20ff7,2,2.0,,
Indian Summer,1972.0,Valerio Zurlini,https://www.bfi.org.uk/films-tv-people/4ce2b75bcfecb,1,1.0,,
Ride Lonesome,1959.0,Budd Boetticher,https://www.bfi.org.uk/films-tv-people/4ce2b6b44f002,1,1.0,,
Aleksandr Nevski,1938.0,Sergei M Eisenstein,https://www.bfi.org.uk/films-tv-people/4ce2b6bd36795,3,2.0,1.0,
Gamlet,1964.0,Grigori Kozintsev,https://www.bfi.org.uk/films-tv-people/4ce2b6aacf4f1,1,1.0,,
"Woman of Paris, A",1923.0,Charles Chaplin,https://www.bfi.org.uk/films-tv-people/4ce2b6bb1c553,5,3.0,2.0,
"drôlesse, La",1979.0,Jacques Doillon,https://www.bfi.org.uk/films-tv-people/4ce2b70edcb9b,1,1.0,,
Spiritual Voices,1996.0,Aleksandr Sokurov,https://www.bfi.org.uk/films-tv-people/4ce2b7fca1e6b,3,3.0,,
"argent, L'",1928.0,Marcel L'Herbier,https://www.bfi.org.uk/films-tv-people/4ce2b6c02abf7,2,2.0,,1.0
Human Remains,1998.0,Jay Rossenblatt,https://www.bfi.org.uk/films-tv-people/4ce2b81f5f4a1,2,1.0,1.0,
Local Color,1977.0,Mark Rappaport,https://www.bfi.org.uk/films-tv-people/4ce2b73a65177,1,1.0,,
Mikey and Nicky,1976.0,Elaine May,https://www.bfi.org.uk/films-tv-people/4ce2b74464bc2,2,2.0,,
Milestones,1975.0,Robert Kramer,https://www.bfi.org.uk/films-tv-people/4ce2b6b06f454,3,1.0,2.0,
Old Joy,2005.0,Kelly Reichardt,https://www.bfi.org.uk/films-tv-people/4ce2b8b9c621d,1,1.0,,
Safe,1994.0,Todd Haynes,https://www.bfi.org.uk/films-tv-people/4ce2b7c99ed38,7,5.0,2.0,
Wanda,1970.0,Barbara Loden,https://www.bfi.org.uk/films-tv-people/4ce2b6ba31970,10,8.0,2.0,
"Wife, The",1995.0,Tom Noonan,https://www.bfi.org.uk/films-tv-people/4ce2b7e105337,1,1.0,,
Bull Durham,1988.0,Ron Shelton,https://www.bfi.org.uk/films-tv-people/4ce2b793ba8a9,1,,1.0,
Harold and Maude,1971.0,Hal Ashby,https://www.bfi.org.uk/films-tv-people/4ce2b6abd9c36,4,1.0,3.0,
Local Hero,1983.0,Bill Forsyth,https://www.bfi.org.uk/films-tv-people/4ce2b73a66ee4,2,1.0,1.0,
"Piano, The",1992.0,Jane Campion,https://www.bfi.org.uk/films-tv-people/4ce2b7b54d000,11,7.0,4.0,
Picnic At Hanging Rock,1975.0,Peter Weir,https://www.bfi.org.uk/films-tv-people/4ce2b6b30b703,5,2.0,3.0,
Scarface,1983.0,Brian De Palma,https://www.bfi.org.uk/films-tv-people/4ce2b69555337,3,1.0,2.0,
This Is Spinal Tap,1983.0,Rob Reiner,https://www.bfi.org.uk/films-tv-people/4ce2b6e322e76,5,3.0,2.0,
Tokyo Ga,1985.0,Wim Wenders,https://www.bfi.org.uk/films-tv-people/4ce2b77a2a9c0,1,,1.0,
Serene Velocity,1970.0,Ernie Gehr,https://www.bfi.org.uk/films-tv-people/4ce2b6db524d0,1,1.0,,
Bride of Frankenstein,1935.0,James Whale,https://www.bfi.org.uk/films-tv-people/4ce2b6a663407,3,3.0,,
Brokeback Mountain,2005.0,Ang Lee,https://www.bfi.org.uk/films-tv-people/4ce2b8a8cb162,4,3.0,1.0,
Goodfellas,1990.0,Martin Scorsese,https://www.bfi.org.uk/films-tv-people/4ce2b79d587a4,21,10.0,11.0,
Close Encounters of the Third Kind,1977.0,Steven Spielberg,https://www.bfi.org.uk/films-tv-people/4ce2b6bca4479,3,3.0,,
Prenom: Carmen,1983.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b75b69ff2,2,2.0,,
Kramer vs. Kramer,1979.0,Robert Benton,https://www.bfi.org.uk/films-tv-people/4ce2b735b66e4,2,,2.0,
On The Waterfront,1954.0,Elia Kazan,https://www.bfi.org.uk/films-tv-people/4ce2b6b2398e8,5,1.0,4.0,
Rosemary's Baby,1968.0,Roman Polanski,https://www.bfi.org.uk/films-tv-people/4ce2b6b4a78c6,10,6.0,4.0,
"Social Network, The",2010.0,David Fincher,https://www.bfi.org.uk/films-tv-people/4ce2b8e0521b1,3,2.0,1.0,
"Shame, The",1968.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b61bacf,2,1.0,1.0,
"Devils, The",1971.0,Ken Russell,https://www.bfi.org.uk/films-tv-people/4ce2b6a8c47c2,6,5.0,1.0,
Irreversible,2002.0,Gaspar Noé,https://www.bfi.org.uk/films-tv-people/4ce2b86c78e77,3,3.0,,
Natural Born Killers,1994.0,Oliver Stone,https://www.bfi.org.uk/films-tv-people/4ce2b7c582593,1,1.0,,
Night of the Demon,1957.0,Jacques Tourneur,https://www.bfi.org.uk/films-tv-people/4ce2b6b18488c,2,2.0,,
Repulsion,1965.0,Roman Polanski,https://www.bfi.org.uk/films-tv-people/4ce2b6b42e4b1,4,3.0,1.0,
In the Realm of the Senses,1976.0,Nagisa Oshima,https://www.bfi.org.uk/films-tv-people/4ce2b6bbda06f,6,4.0,2.0,
Yellow Earth,1984.0,Chen Kaige,https://www.bfi.org.uk/films-tv-people/4ce2b72a4d92a,3,3.0,,
"Horse Thief, The",1986.0,Tian Zhuangzhuang,https://www.bfi.org.uk/films-tv-people/4ce2b70869685,1,,1.0,
Kagemusha,1980.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6be2b91c,5,2.0,3.0,
Slow Motion,1979.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b76692c72,4,2.0,2.0,
Landscape in the Mist,1988.0,Theodoros Angelopoulos,https://www.bfi.org.uk/films-tv-people/4ce2b79a16168,7,4.0,3.0,
"Black God, White Devil",1964.0,Glauber Rocha,https://www.bfi.org.uk/films-tv-people/4ce2b6a8be619,9,6.0,3.0,
Chimes at Midnight,1966.0,Orson Welles,https://www.bfi.org.uk/films-tv-people/4ce2b6a70cd80,13,11.0,2.0,
Frida,1984.0,Paul Leduc,https://www.bfi.org.uk/films-tv-people/4ce2b71bb70da,1,1.0,,
"Bed you Sleep In, The",1993.0,Jon Jost,https://www.bfi.org.uk/films-tv-people/4ce2b7c62d616,1,1.0,,
Dog Star Man,1964.0,Stan Brakhage,https://www.bfi.org.uk/films-tv-people/4ce2b6a90aec4,4,3.0,1.0,
Ornamental Hairpin,1941.0,Shimizu Hiroshi,https://www.bfi.org.uk/films-tv-people/4ce2b797001fd,1,1.0,,
"Terra Trema, La",1948.0,Luchino Visconti,https://www.bfi.org.uk/films-tv-people/4ce2b7786b790,4,3.0,1.0,
Through the Olive Trees,1994.0,Abbas Kiarostami,https://www.bfi.org.uk/films-tv-people/4ce2b7dda5e6d,10,6.0,4.0,
"Time to Live and a Time To Die, A",1985.0,Hsiao-hsien Hou,https://www.bfi.org.uk/films-tv-people/4ce2b77a7e0f2,4,2.0,2.0,
Birth,2004.0,Jonathan Glazer,https://www.bfi.org.uk/films-tv-people/4ce2b8a8d4975,1,1.0,,
Deliverance,1972.0,John Boorman,https://www.bfi.org.uk/films-tv-people/4ce2b6a8a39d2,2,1.0,1.0,
Enter the Dragon,1973.0,Robert Clouse,https://www.bfi.org.uk/films-tv-people/4ce2b6a98bb7e,1,1.0,,
Minority Report,2002.0,Steven Spielberg,https://www.bfi.org.uk/films-tv-people/4ce2b8245411d,1,1.0,,
"Now, Voyager",1942.0,Irving Rapper,https://www.bfi.org.uk/films-tv-people/4ce2b74e74eed,2,1.0,1.0,
"Ten Commandments, The",1923.0,Cecil B DeMille,https://www.bfi.org.uk/films-tv-people/4ce2b6b7d19cd,1,1.0,,
"Texas Chainsaw Massacre, The",1974.0,Tobe Hooper,https://www.bfi.org.uk/films-tv-people/4ce2b6b7ea720,10,9.0,1.0,1.0
Chungking Express,1994.0,Wong Kar Wai,https://www.bfi.org.uk/films-tv-people/4ce2b7dda7007,15,12.0,3.0,
Meet Me In St. Louis,1944.0,Vincente Minnelli,https://www.bfi.org.uk/films-tv-people/4ce2b6b02dc27,15,13.0,2.0,
All About My Mother,1999.0,Pedro Almodóvar,https://www.bfi.org.uk/films-tv-people/4ce2b81b9d18e,7,7.0,,
"Crouching Tiger, Hidden Dragon",2000.0,Ang Lee,https://www.bfi.org.uk/films-tv-people/4ce2b8301abe5,3,3.0,,
