movie,year,director,movie_link,total_score,critic_score,director_score,french_voters_score
Once Upon a Time in America,1983.0,Sergio Leone,https://www.bfi.org.uk/films-tv-people/4ce2b6e31e32e,15,11.0,4.0,
Seven Samurai,1954.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6b5b6382,70,48.0,22.0,1.0
"Son, The",2002.0,Jean-Pierre Dardenne/Luc Dardenne,https://www.bfi.org.uk/films-tv-people/4ce2b872dd8ff,5,3.0,2.0,
Spirited Away,2001.0,Miyazaki Hayao,https://www.bfi.org.uk/films-tv-people/4ce2b83f86eb2,11,8.0,3.0,1.0
Bande à part,1964.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6a48ca02,3,3.0,,
Blue Velvet,1986.0,David Lynch,https://www.bfi.org.uk/films-tv-people/4ce2b6f6c85c4,33,23.0,10.0,
Do The Right Thing,1989.0,Spike Lee,https://www.bfi.org.uk/films-tv-people/4ce2b794e6dfb,18,13.0,5.0,
"dolce vita, La",1960.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b6a90d39d,46,33.0,13.0,2.0
"Outsiders, The",1983.0,Francis Ford Coppola,https://www.bfi.org.uk/films-tv-people/4ce2b6c39c104,1,1.0,,
Pakeezah,1972.0,Kamal Amrohi,https://www.bfi.org.uk/films-tv-people/4ce2b75403504,2,2.0,,
Psycho,1960.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b6b39fc24,46,35.0,11.0,1.0
Raging Bull,1980.0,Martin Scorsese,https://www.bfi.org.uk/films-tv-people/4ce2b6bf2249d,54,28.0,26.0,1.0
Sweet Smell of Success,1957.0,Alexander Mackendrick,https://www.bfi.org.uk/films-tv-people/4ce2b6b774f0f,12,10.0,2.0,
"Apartment, The",1960.0,Billy Wilder,https://www.bfi.org.uk/films-tv-people/4ce2b6c010eb7,25,13.0,12.0,1.0
"Asphalt Jungle, The",1950.0,John Huston,https://www.bfi.org.uk/films-tv-people/4ce2b6c04cde4,3,,3.0,
"Best Years of Our Lives, The",1946.0,William Wyler,https://www.bfi.org.uk/films-tv-people/4ce2b6bf4befa,9,6.0,3.0,1.0
Citizen Kane,1941.0,Orson Welles,https://www.bfi.org.uk/films-tv-people/4ce2b6a7a801b,199,157.0,42.0,2.0
Cluny Brown,1946.0,Ernst Lubitsch,https://www.bfi.org.uk/films-tv-people/4ce2b6a7bab4b,2,1.0,1.0,1.0
Hannah and Her Sisters,1986.0,Woody Allen,https://www.bfi.org.uk/films-tv-people/4ce2b7234f9b8,5,3.0,2.0,
Kotch,1971.0,Jack Lemmon,https://www.bfi.org.uk/films-tv-people/4ce2b6ae48730,1,,1.0,
"Jour se Leve, Le",1939.0,Marcel Carné,https://www.bfi.org.uk/films-tv-people/4ce2b6adaff92,3,1.0,2.0,
Red River,1947.0,Howard Hawks/Arthur Rosson,https://www.bfi.org.uk/films-tv-people/4ce2b6b416034,10,7.0,3.0,
Twelve O'Clock High,1949.0,Henry King,https://www.bfi.org.uk/films-tv-people/4ce2b6b92a9f0,1,,1.0,
A nos Amours,1983.0,Maurice Pialat,https://www.bfi.org.uk/films-tv-people/4ce2b69a3415f,10,7.0,3.0,
Alphaville,1965.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6eadf87b,6,1.0,5.0,
Belle de Jour,1967.0,Luis Buñuel,https://www.bfi.org.uk/films-tv-people/4ce2b6a59d655,12,7.0,5.0,
"Clockwork Orange, A",1971.0,Stanley Kubrick,https://www.bfi.org.uk/films-tv-people/4ce2b6a7b69f6,15,7.0,8.0,1.0
"Lovers on the Bridge, The",1991.0,Leos Carax,https://www.bfi.org.uk/films-tv-people/4ce2b79c26d23,3,1.0,2.0,
Mouchette,1966.0,Robert Bresson,https://www.bfi.org.uk/films-tv-people/4ce2b6b0d7f12,20,14.0,6.0,
Opening Night,1977.0,John Cassavetes,https://www.bfi.org.uk/films-tv-people/4ce2b6bedc2bb,11,4.0,7.0,
"River, The",1951.0,Jean Renoir,https://www.bfi.org.uk/films-tv-people/4ce2b6b46ab2d,19,13.0,6.0,1.0
"Salo, or The 120 Days of Sodom",1975.0,Pier Paolo Pasolini,https://www.bfi.org.uk/films-tv-people/4ce2b6b4ead96,16,8.0,8.0,2.0
"Adversary, The",1971.0,Satyajit Ray,https://www.bfi.org.uk/films-tv-people/4ce2b6b36514c,1,,1.0,
"Bogey-Man, The",1980.0,Govindan Aravindan,https://www.bfi.org.uk/films-tv-people/4ce2b735ec7cc,2,1.0,1.0,
Close-Up,1989.0,Abbas Kiarostami,https://www.bfi.org.uk/films-tv-people/4ce2b7a39630e,44,31.0,13.0,2.0
"End of Summer, The",1961.0,Ozu Yasujirô ,https://www.bfi.org.uk/films-tv-people/4ce2b6ae3a9a9,3,1.0,2.0,1.0
"Golden Thread, The",1965.0,Ritwik Ghatak,https://www.bfi.org.uk/films-tv-people/4ce2b7757d932,4,2.0,2.0,
Nanami: Inferno of First Love,1968.0,Hani Susumi,https://www.bfi.org.uk/films-tv-people/4ce2b6abe18b0,1,,1.0,
Pale Flower,1964.0,Shinoda Mashiro,https://www.bfi.org.uk/films-tv-people/4ce2b6ade691d,1,,1.0,
Unsere Afrikareise,1961.0,Peter Kubelka,https://www.bfi.org.uk/films-tv-people/4ce2b6d46b377,4,2.0,2.0,
Veronika Voss,1982.0,Rainer Werner Fassbinder,https://www.bfi.org.uk/films-tv-people/4ce2b7691925a,4,,4.0,
"Arguments and a Story or Reason, Debate and a Tale",1974.0,Ritwik Ghatak,https://www.bfi.org.uk/films-tv-people/4ce2b732a9e56,4,2.0,2.0,
"Crucified Lovers, The",1954.0,Mizoguchi Kenji,https://www.bfi.org.uk/films-tv-people/4ce2b6a785eda,2,2.0,,1.0
Not Reconciled,1965.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b74c919fc,3,1.0,2.0,
Numéro deux,1975.0,Jean-Luc Godard/Anne-Marie Miéville,https://www.bfi.org.uk/films-tv-people/4ce2b6beccfbf,6,5.0,1.0,
"Painted Lady, The",1912.0,D.W. Griffith,https://www.bfi.org.uk/films-tv-people/4ce2b79803e0f,1,1.0,,
"Satin Slipper, The",1985.0,Manoel de Oliveira,https://www.bfi.org.uk/films-tv-people/4ce2b76fc1c8d,1,1.0,,
Stagecoach,1939.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6b727a8b,7,5.0,2.0,
"Union of the Great Cause, The",1927.0,Kozintsev and Leonid Trauberg,https://www.bfi.org.uk/films-tv-people/4ce2b7999fb6e,1,1.0,,
Breaking the Waves,1996.0,Lars von Trier,https://www.bfi.org.uk/films-tv-people/4ce2b7e2b963d,15,9.0,6.0,
Down By Law,1986.0,Jim Jarmusch,https://www.bfi.org.uk/films-tv-people/4ce2b70e49bb7,5,1.0,4.0,
Funny Games,1997.0,Michael Haneke,https://www.bfi.org.uk/films-tv-people/4ce2b7fac7dc2,4,1.0,3.0,
Head-On,2003.0,Fatih Akin,https://www.bfi.org.uk/films-tv-people/4ce2b8a2b0940,3,1.0,2.0,
In The Mood For Love,2000.0,Wong Kar Wai,https://www.bfi.org.uk/films-tv-people/4ce2b8485aac9,51,42.0,9.0,
"Man Without a Past, The",2002.0,Aki Kaurismäki,https://www.bfi.org.uk/films-tv-people/4ce2b878c0175,1,,1.0,
"Simple Even, A",1973.0,Sohrab Shahid-Saless,https://www.bfi.org.uk/films-tv-people/4ce2b6bb4d775,1,,1.0,
Songs from the Second Floor,2000.0,Roy Andersson,https://www.bfi.org.uk/films-tv-people/4ce2b81d77d71,6,,6.0,
"Bicycle Thieves, The",1948.0,Vittorio de Sica,https://www.bfi.org.uk/films-tv-people/4ce2b6ae61fec,66,37.0,29.0,2.0
Children of Heaven,1997.0,Majid Majidi,https://www.bfi.org.uk/films-tv-people/4ce2b809afdfd,3,2.0,1.0,
Cinema Paradiso,1988.0,Giuseppe Tornatore,https://www.bfi.org.uk/films-tv-people/4ce2b797b6e41,4,3.0,1.0,
"Earth, The",1969.0,Youssef Chahine,https://www.bfi.org.uk/films-tv-people/4ce2b6edbea40,1,,1.0,
"Godfather: Part I, The",1972.0,Francis Ford Coppola,https://www.bfi.org.uk/films-tv-people/4ce2b6ab4237b,74,43.0,31.0,
"Hours, The",2002.0,Stephen Daldry,https://www.bfi.org.uk/films-tv-people/4ce2b864d95e5,1,,1.0,
No Country for Old Men,2007.0,Joel & Ethan Coen,https://www.bfi.org.uk/films-tv-people/4ce2b8c3465ff,4,2.0,2.0,
"Separation, A",2011.0,Asghar Farhadi,https://www.bfi.org.uk/films-tv-people/4f4b8b7e5ef90,9,4.0,5.0,
There Will Be Blood,2007.0,Paul Thomas Anderson,https://www.bfi.org.uk/films-tv-people/4ce2b8c6518bb,16,8.0,8.0,
"Tree of Life, The",2010.0,Terrence Malick,https://www.bfi.org.uk/films-tv-people/4f4b8bf00dfa0,21,16.0,5.0,1.0
City Lights,1931.0,Charles Chaplin,https://www.bfi.org.uk/films-tv-people/4ce2b6bbb8e51,43,29.0,14.0,1.0
My Darling Clementine,1946.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6b10f03e,12,7.0,5.0,
Eight Deadly Shots,1972.0,Mikko Niskanen,https://www.bfi.org.uk/films-tv-people/4ce2b6adcfa6a,2,2.0,,
Jules et Jim,1962.0,François Truffaut,https://www.bfi.org.uk/films-tv-people/4ce2b6adb948c,19,13.0,6.0,1.0
"Règle du jeu, La",1939.0,Jean Renoir,https://www.bfi.org.uk/films-tv-people/4ce2b6b41d658,117,100.0,17.0,7.0
Sansho Dayu,1954.0,Mizoguchi Kenji,https://www.bfi.org.uk/films-tv-people/4ce2b6b50a0d5,28,25.0,3.0,3.0
"collectionneuse, La",1966.0,Eric Rohmer,https://www.bfi.org.uk/films-tv-people/4ce2b6a7c319e,2,1.0,1.0,
"Host, The",2006.0,Bong Joon-ho,https://www.bfi.org.uk/films-tv-people/4ce2b8bca3e47,4,4.0,,1.0
"Libertad, La",2001.0,Lisandro Alonso,https://www.bfi.org.uk/films-tv-people/4ce2b8650231b,2,2.0,,
Love Streams,1984.0,John Cassavetes,https://www.bfi.org.uk/films-tv-people/4ce2b6e742567,11,8.0,3.0,
Sátántangó,1994.0,Béla Tarr,https://www.bfi.org.uk/films-tv-people/4ce2b7d2993a2,40,34.0,6.0,
Sisters,1972.0,Brian De Palma,https://www.bfi.org.uk/films-tv-people/4ce2b695532d5,1,1.0,,
Two-Lane Blacktop,1971.0,Monte Hellman,https://www.bfi.org.uk/films-tv-people/4ce2b6b93e9f8,7,7.0,,1.0
Vivre Sa Vie,1962.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6ba057c9,21,12.0,9.0,1.0
Johnny Guitar,1954.0,Nicholas Ray,https://www.bfi.org.uk/films-tv-people/4ce2b6ada35e2,8,6.0,2.0,
"Life and Death of Colonel Blimp, The",1943.0,Michael Powell/Emeric Pressburger,https://www.bfi.org.uk/films-tv-people/4ce2b6e31bcf4,21,17.0,4.0,
Once Upon a Time in the West,1968.0,Sergio Leone,https://www.bfi.org.uk/films-tv-people/4ce2b6a754af6,33,21.0,12.0,
Port of Shadows,1938.0,Marcel Carné,https://www.bfi.org.uk/films-tv-people/4ce2b6b3b220d,5,3.0,2.0,
Sunset Blvd.,1950.0,Billy Wilder,https://www.bfi.org.uk/films-tv-people/4ce2b6b757144,33,24.0,9.0,1.0
"Third Man, The",1949.0,Carol Reed,https://www.bfi.org.uk/films-tv-people/4ce2b6b824610,28,22.0,6.0,1.0
Tol'able David,1921.0,Henry King,https://www.bfi.org.uk/films-tv-people/4ce2b6a5c0ef0,1,1.0,,
Entuziazm: Simfoniya Donbassa,1931.0,Dziga Vertov,https://www.bfi.org.uk/films-tv-people/4ce2b6bf52b16,2,1.0,1.0,
Fort Apache,1948.0,John Ford,https://www.bfi.org.uk/films-tv-people/4ce2b6aa79614,3,3.0,,
Othon,1969.0,Jean-Marie Straub/Danièle Huillet,https://www.bfi.org.uk/films-tv-people/4ce2b78e0bcf5,2,2.0,,
"Maman et la putain, La",1973.0,Jean Eustache,https://www.bfi.org.uk/films-tv-people/4ce2b73f2ec00,32,25.0,7.0,4.0
Out 1,1990.0,Jacques Rivette,https://www.bfi.org.uk/films-tv-people/4ce2b753590cb,13,13.0,,
Ruskin,1974.0,Robert Beavers,https://www.bfi.org.uk/films-tv-people/4ce2b821ef715,2,2.0,,
Tabu,1931.0,F. W. Murnau,https://www.bfi.org.uk/films-tv-people/4ce2b6b78bfc0,12,10.0,2.0,2.0
Vampyr,1932.0,Carl Theodor Dreyer,https://www.bfi.org.uk/films-tv-people/4ce2b6b9a848b,15,11.0,4.0,3.0
Vertigo,1958.0,Alfred Hitchcock,https://www.bfi.org.uk/films-tv-people/4ce2b6b9caca4,222,191.0,31.0,5.0
"Battle of Algiers, The",1966.0,Gillo Pontecorvo,https://www.bfi.org.uk/films-tv-people/4ce2b6f24787d,45,30.0,15.0,
Charulata,1964.0,Satyajit Ray,https://www.bfi.org.uk/films-tv-people/4ce2b6a76d983,6,6.0,,
Crimson Gold,2003.0,Jafar Panahi,https://www.bfi.org.uk/films-tv-people/4ce2b896337d8,2,1.0,1.0,
Entranced Earth,1967.0,Glauber Rocha,https://www.bfi.org.uk/films-tv-people/4ce2b693a235d,6,4.0,2.0,
If….,1968.0,Lindsay Anderson,https://www.bfi.org.uk/films-tv-people/4ce2b72b789cf,7,5.0,2.0,
Osaka Elegy,1936.0,Mizoguchi Kenji,https://www.bfi.org.uk/films-tv-people/4ce2b6b13cc5b,2,2.0,,
"Puppetmaster, The",1993.0,Hsiao-hsien Hou,https://www.bfi.org.uk/films-tv-people/4ce2b7c8951ef,10,7.0,3.0,
Tout va Bien,1972.0,Jean-Luc Godard/Jean-Pierre Gorin,https://www.bfi.org.uk/films-tv-people/4ce2b6b8c184c,3,3.0,,
"eclisse, L'",1962.0,Michelangelo Antonioni,https://www.bfi.org.uk/films-tv-people/4ce2b6a9624ac,33,22.0,11.0,
"Sun, The",2005.0,Aleksandr Sokurov,https://www.bfi.org.uk/films-tv-people/4ce2b8ae95bf1,2,2.0,,
"White Ribbon, The",2009.0,Michael Haneke,https://www.bfi.org.uk/films-tv-people/4ce2b8d4c824d,10,7.0,3.0,
"400 Blows, The",1959.0,François Truffaut,https://www.bfi.org.uk/films-tv-people/4ce2b6b3b75b7,58,33.0,25.0,1.0
8½,1963.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b6b25bb2b,104,64.0,40.0,
Amarcord,1972.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b6b4b0e0c,28,14.0,14.0,2.0
"grande illusion, La",1937.0,Jean Renoir,https://www.bfi.org.uk/films-tv-people/4ce2b6ab6f1c7,32,22.0,10.0,1.0
Paths of Glory,1957.0,Stanley Kubrick,https://www.bfi.org.uk/films-tv-people/4ce2b6b2b629c,10,4.0,6.0,1.0
"Seventh Seal, The",1957.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b61b4e8,25,17.0,8.0,
Badlands,1973.0,Terrence Malick,https://www.bfi.org.uk/films-tv-people/4ce2b6a470348,17,8.0,9.0,
Cocksucker Blues,1979.0,Robert Frank,https://www.bfi.org.uk/films-tv-people/4ce2b70275daa,2,1.0,1.0,
"mépris, Le",1963.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6b049967,55,43.0,12.0,4.0
Metropolis,1927.0,Fritz Lang,https://www.bfi.org.uk/films-tv-people/4ce2b6b0544c6,39,34.0,5.0,
Passion of Joan of Arc,1927.0,Carl Theodor Dreyer,https://www.bfi.org.uk/films-tv-people/4ce2b754db651,78,65.0,13.0,
Playtime,1967.0,Jacques Tati,https://www.bfi.org.uk/films-tv-people/4ce2b6b3291db,44,31.0,13.0,3.0
Reisender Krieger,1981.0,Christian Schocher,https://www.bfi.org.uk/films-tv-people/4ce2b76092180,2,2.0,,
All About Eve,1950.0,Joseph L. Mankiewicz,https://www.bfi.org.uk/films-tv-people/4ce2b6a78a11b,9,7.0,2.0,
As Tears Go By,1988.0,Wong Kar Wai,https://www.bfi.org.uk/films-tv-people/4ce2b79ed55f3,1,1.0,,
"Distant Voices, Still Lives",1988.0,Terence Davies,https://www.bfi.org.uk/films-tv-people/4ce2b79314351,12,11.0,1.0,
My Own Private Idaho,1991.0,Gus van Sant,https://www.bfi.org.uk/films-tv-people/4ce2b7a30165c,3,2.0,1.0,
Out of the Past,1947.0,Jacques Tourneur,https://www.bfi.org.uk/films-tv-people/4ce2b6b26aca5,12,9.0,3.0,
Providence,1977.0,Alain Resnais,https://www.bfi.org.uk/films-tv-people/4ce2b6b39ca6f,5,3.0,2.0,1.0
Tropical Malady,2004.0,Apichatpong Weerasethakul,https://www.bfi.org.uk/films-tv-people/4ce2b8a69d6fb,18,13.0,5.0,
"Umbrellas of Cherbourg, The",1964.0,Jacques Demy,https://www.bfi.org.uk/films-tv-people/4ce2b6b295aa3,15,10.0,5.0,1.0
