voter,voter_profession,voter_country,movie_id
Matthias Lerf,critic,Switzerland,id_20
Matthias Lerf,critic,Switzerland,id_30
Matthias Lerf,critic,Switzerland,id_192
Matthias Lerf,critic,Switzerland,id_1762
Matthias Lerf,critic,Switzerland,id_4
Matthias Lerf,critic,Switzerland,id_552
Matthias Lerf,critic,Switzerland,id_560
Matthias Lerf,critic,Switzerland,id_463
Matthias Lerf,critic,Switzerland,id_113
Matthias Lerf,critic,Switzerland,id_217
Esther Leslie,academic,UK,id_437
Esther Leslie,academic,UK,id_1763
Esther Leslie,academic,UK,id_1764
Esther Leslie,academic,UK,id_1765
Esther Leslie,academic,UK,id_1273
Esther Leslie,academic,UK,id_1690
Esther Leslie,academic,UK,id_27
Esther Leslie,academic,UK,id_1766
Esther Leslie,academic,UK,id_49
Esther Leslie,academic,UK,id_1358
Richard Lester,Director,US/UK,id_10
Richard Lester,Director,US/UK,id_1767
Richard Lester,Director,US/UK,id_193
Richard Lester,Director,US/UK,id_360
Richard Lester,Director,US/UK,id_240
Richard Lester,Director,US/UK,id_110
Richard Lester,Director,US/UK,id_571
Richard Lester,Director,US/UK,id_184
Richard Lester,Director,US/UK,id_822
Richard Lester,Director,US/UK,id_47
Jørgen Leth,Director,Denmark,id_31
Jørgen Leth,Director,Denmark,id_728
Jørgen Leth,Director,Denmark,id_324
Jørgen Leth,Director,Denmark,id_14
Jørgen Leth,Director,Denmark,id_437
Jørgen Leth,Director,Denmark,id_1010
Jørgen Leth,Director,Denmark,id_132
Jørgen Leth,Director,Denmark,id_168
Jørgen Leth,Director,Denmark,id_233
Jørgen Leth,Director,Denmark,id_129
Mariann Lewinsky,programmer,Switz/Italy,id_1768
Mariann Lewinsky,programmer,Switz/Italy,id_1769
Mariann Lewinsky,programmer,Switz/Italy,id_1131
Mariann Lewinsky,programmer,Switz/Italy,id_187
Mariann Lewinsky,programmer,Switz/Italy,id_453
Mariann Lewinsky,programmer,Switz/Italy,id_1770
Mariann Lewinsky,programmer,Switz/Italy,id_168
Mariann Lewinsky,programmer,Switz/Italy,id_1684
Mariann Lewinsky,programmer,Switz/Italy,id_1771
Mariann Lewinsky,programmer,Switz/Italy,id_471
Matthew Leyland,critic,UK,id_23
Matthew Leyland,critic,UK,id_63
Matthew Leyland,critic,UK,id_310
Matthew Leyland,critic,UK,id_428
Matthew Leyland,critic,UK,id_1772
Matthew Leyland,critic,UK,id_110
Matthew Leyland,critic,UK,id_29
Matthew Leyland,critic,UK,id_120
Matthew Leyland,critic,UK,id_786
Matthew Leyland,critic,UK,id_146
Ying Liang,Director,China,id_282
Ying Liang,Director,China,id_63
Ying Liang,Director,China,id_15
Ying Liang,Director,China,id_27
Ying Liang,Director,China,id_4
Ying Liang,Director,China,id_126
Ying Liang,Director,China,id_235
Ying Liang,Director,China,id_755
Ying Liang,Director,China,id_217
Ying Liang,Director,China,id_38
Dennis Lim,critic,US,id_1773
Dennis Lim,critic,US,id_1725
Dennis Lim,critic,US,id_81
Dennis Lim,critic,US,id_1774
Dennis Lim,critic,US,id_274
Dennis Lim,critic,US,id_347
Dennis Lim,critic,US,id_125
Dennis Lim,critic,US,id_27
Dennis Lim,critic,US,id_141
Dennis Lim,critic,US,id_514
Helena Lindblad,critic,Sweden,id_192
Helena Lindblad,critic,Sweden,id_221
Helena Lindblad,critic,Sweden,id_360
Helena Lindblad,critic,Sweden,id_110
Helena Lindblad,critic,Sweden,id_1100
Helena Lindblad,critic,Sweden,id_102
Helena Lindblad,critic,Sweden,id_209
Helena Lindblad,critic,Sweden,id_7
Helena Lindblad,critic,Sweden,id_457
Helena Lindblad,critic,Sweden,id_9
Dana Linssen,critic,Netherlands,id_765
Dana Linssen,critic,Netherlands,id_1775
Dana Linssen,critic,Netherlands,id_871
Dana Linssen,critic,Netherlands,id_1200
Dana Linssen,critic,Netherlands,id_347
Dana Linssen,critic,Netherlands,id_15
Dana Linssen,critic,Netherlands,id_1776
Dana Linssen,critic,Netherlands,id_286
Dana Linssen,critic,Netherlands,id_568
Dana Linssen,critic,Netherlands,id_1777
Michel Lipkes,programmer,Mexico,id_70
Michel Lipkes,programmer,Mexico,id_229
Michel Lipkes,programmer,Mexico,id_10
Michel Lipkes,programmer,Mexico,id_849
Michel Lipkes,programmer,Mexico,id_1726
Michel Lipkes,programmer,Mexico,id_264
Michel Lipkes,programmer,Mexico,id_802
Michel Lipkes,programmer,Mexico,id_255
Michel Lipkes,programmer,Mexico,id_191
Michel Lipkes,programmer,Mexico,id_235
Ross Lipman,archivist,US,id_21
Ross Lipman,archivist,US,id_106
Ross Lipman,archivist,US,id_1778
Ross Lipman,archivist,US,id_360
Ross Lipman,archivist,US,id_285
Ross Lipman,archivist,US,id_1779
Ross Lipman,archivist,US,id_168
Ross Lipman,archivist,US,id_329
Ross Lipman,archivist,US,id_169
Ross Lipman,archivist,US,id_1780
Kjetil Lismoen,critic,Norway,id_224
Kjetil Lismoen,critic,Norway,id_147
Kjetil Lismoen,critic,Norway,id_200
Kjetil Lismoen,critic,Norway,id_184
Kjetil Lismoen,critic,Norway,id_898
Kjetil Lismoen,critic,Norway,id_114
Kjetil Lismoen,critic,Norway,id_146
Kjetil Lismoen,critic,Norway,id_855
Kjetil Lismoen,critic,Norway,id_179
Kjetil Lismoen,critic,Norway,id_389
Guy Lodge,critic,UK/South Africa,id_158
Guy Lodge,critic,UK/South Africa,id_1161
Guy Lodge,critic,UK/South Africa,id_361
Guy Lodge,critic,UK/South Africa,id_65
Guy Lodge,critic,UK/South Africa,id_209
Guy Lodge,critic,UK/South Africa,id_414
Guy Lodge,critic,UK/South Africa,id_37
Guy Lodge,critic,UK/South Africa,id_960
Guy Lodge,critic,UK/South Africa,id_146
Guy Lodge,critic,UK/South Africa,id_397
Tiina Lokk,programmer,Estonia,id_160
Tiina Lokk,programmer,Estonia,id_21
Tiina Lokk,programmer,Estonia,id_305
Tiina Lokk,programmer,Estonia,id_63
Tiina Lokk,programmer,Estonia,id_8
Tiina Lokk,programmer,Estonia,id_322
Tiina Lokk,programmer,Estonia,id_408
Tiina Lokk,programmer,Estonia,id_203
Tiina Lokk,programmer,Estonia,id_1110
Tiina Lokk,programmer,Estonia,id_1148
Manuel J Lombardo,critic,Spain,id_473
Manuel J Lombardo,critic,Spain,id_548
Manuel J Lombardo,critic,Spain,id_1222
Manuel J Lombardo,critic,Spain,id_265
Manuel J Lombardo,critic,Spain,id_140
Manuel J Lombardo,critic,Spain,id_1781
Manuel J Lombardo,critic,Spain,id_1096
Manuel J Lombardo,critic,Spain,id_593
Manuel J Lombardo,critic,Spain,id_235
Manuel J Lombardo,critic,Spain,id_426
Long Tin Shum,critic,Hong Kong,id_30
Long Tin Shum,critic,Hong Kong,id_1394
Long Tin Shum,critic,Hong Kong,id_24
Long Tin Shum,critic,Hong Kong,id_192
Long Tin Shum,critic,Hong Kong,id_53
Long Tin Shum,critic,Hong Kong,id_1782
Long Tin Shum,critic,Hong Kong,id_253
Long Tin Shum,critic,Hong Kong,id_1163
Long Tin Shum,critic,Hong Kong,id_120
Long Tin Shum,critic,Hong Kong,id_191
Carolina López Caballero,programmer,Spain,id_20
Carolina López Caballero,programmer,Spain,id_810
Carolina López Caballero,programmer,Spain,id_282
Carolina López Caballero,programmer,Spain,id_1783
Carolina López Caballero,programmer,Spain,id_27
Carolina López Caballero,programmer,Spain,id_285
Carolina López Caballero,programmer,Spain,id_167
Carolina López Caballero,programmer,Spain,id_898
Carolina López Caballero,programmer,Spain,id_235
Carolina López Caballero,programmer,Spain,id_586
Carlos Losilla,critic,Spain,id_564
Carlos Losilla,critic,Spain,id_1784
Carlos Losilla,critic,Spain,id_116
Carlos Losilla,critic,Spain,id_155
Carlos Losilla,critic,Spain,id_266
Carlos Losilla,critic,Spain,id_140
Carlos Losilla,critic,Spain,id_1785
Carlos Losilla,critic,Spain,id_232
Carlos Losilla,critic,Spain,id_578
Carlos Losilla,critic,Spain,id_456
Simon Louvish,critic,US,id_1786
Simon Louvish,critic,US,id_53
Simon Louvish,critic,US,id_238
Simon Louvish,critic,US,id_367
