voter,voter_profession,voter_country,movie_id
Steven Markovitz,programmer,South Africa,id_331
Steven Markovitz,programmer,South Africa,id_720
Steven Markovitz,programmer,South Africa,id_58
Steven Markovitz,programmer,South Africa,id_47
Steven Markovitz,programmer,South Africa,id_146
Steven Markovitz,programmer,South Africa,id_157
Steven Markovitz,programmer,South Africa,id_1013
Laura Marks,academic,US,id_21
Laura Marks,academic,US,id_40
Laura Marks,academic,US,id_863
Laura Marks,academic,US,id_390
Laura Marks,academic,US,id_27
Laura Marks,academic,US,id_560
Laura Marks,academic,US,id_235
Laura Marks,academic,US,id_363
Laura Marks,academic,US,id_409
Laura Marks,academic,US,id_621
James Marsh,Director,UK,id_51
James Marsh,Director,UK,id_63
James Marsh,Director,UK,id_1840
James Marsh,Director,UK,id_1726
James Marsh,Director,UK,id_1841
James Marsh,Director,UK,id_222
James Marsh,Director,UK,id_825
James Marsh,Director,UK,id_37
James Marsh,Director,UK,id_211
James Marsh,Director,UK,id_1148
Lee Marshall,critic,Italy,id_40
Lee Marshall,critic,Italy,id_328
Lee Marshall,critic,Italy,id_164
Lee Marshall,critic,Italy,id_276
Lee Marshall,critic,Italy,id_461
Lee Marshall,critic,Italy,id_381
Lee Marshall,critic,Italy,id_45
Lee Marshall,critic,Italy,id_394
Lee Marshall,critic,Italy,id_295
Lee Marshall,critic,Italy,id_9
Adrian Martin,critic,Australia,id_1842
Adrian Martin,critic,Australia,id_1843
Adrian Martin,critic,Australia,id_281
